,title,color,imageUrl,price,gender,brand,description,composition,cotton
0,ORGANIC REGULAR FIT T-SHIRT,FOREST NIGHT,https://cdn.shopify.com/s/files/1/0262/5311/products/10113---1090-Forrest-Night---Extra-1.4_64167747-880f-4e74-9d6b-41e811a4dd8c.jpg?v=1632308505,35.36,men,Brothers We Stand,"We recommend that to save water, reduce detergent usage, reduce energy consumption and to extend the life of this garment that you wash it as infrequently as is practical.",100% Organic Cotton,1
1,ORGANIC REGULAR FIT T-SHIRT,INSIGNIA BLUE,https://cdn.shopify.com/s/files/1/0262/5311/products/10113---1257-Insigna-Blue-melange---Extra-1.4_818c3938-42f3-4c11-b4e7-4044ec4529f6.jpg?v=1632308505,35.36,men,Brothers We Stand,"We recommend that to save water, reduce detergent usage, reduce energy consumption and to extend the life of this garment that you wash it as infrequently as is practical.",100% Organic Cotton,1
2,ORGANIC REGULAR FIT T-SHIRT,DARK DENIM,https://cdn.shopify.com/s/files/1/0262/5311/products/10113---1188-Dark-Denim---Extra-1.4_02e6f847-c9a3-4f27-8faa-ac0ecee738c0.jpg?v=1632308505,35.36,men,Brothers We Stand,"We recommend that to save water, reduce detergent usage, reduce energy consumption and to extend the life of this garment that you wash it as infrequently as is practical.",100% Organic Cotton,1
3,ORGANIC REGULAR FIT T-SHIRT,TOTAL ECLIPSE,https://cdn.shopify.com/s/files/1/0262/5311/products/10113---1001-Total-Eclipse---Extra-1.4_9101e456-724b-4467-98b2-e5c114b72690.jpg?v=1632308505,35.36,men,Brothers We Stand,"We recommend that to save water, reduce detergent usage, reduce energy consumption and to extend the life of this garment that you wash it as infrequently as is practical.",100% Organic Cotton,1
4,ORGANIC REGULAR FIT T-SHIRT,DARK GREY MELANGE,https://cdn.shopify.com/s/files/1/0262/5311/products/10113---1073-Dark-Grey-Melange---Extra-1.4_2e50843a-6fd8-4283-917d-85a4a9defd76.jpg?v=1632308505,35.36,men,Brothers We Stand,"We recommend that to save water, reduce detergent usage, reduce energy consumption and to extend the life of this garment that you wash it as infrequently as is practical.",100% Organic Cotton,1
5,ORGANIC REGULAR FIT T-SHIRT,GREY MELANGE,https://cdn.shopify.com/s/files/1/0262/5311/products/10113---1012-Grey-Melange---Extra-1.4_51c270e2-2707-4480-aa44-19520a2d73fc.jpg?v=1632308505,35.36,men,Brothers We Stand,"We recommend that to save water, reduce detergent usage, reduce energy consumption and to extend the life of this garment that you wash it as infrequently as is practical.",100% Organic Cotton,1
6,ORGANIC REGULAR FIT T-SHIRT,BRIGHT WHITE,https://cdn.shopify.com/s/files/1/0262/5311/products/10113---1010-Bright-White---Extra-1.4_db011f03-3fef-4d8c-b445-731b262ad1ed.jpg?v=1632308505,35.36,men,Brothers We Stand,"We recommend that to save water, reduce detergent usage, reduce energy consumption and to extend the life of this garment that you wash it as infrequently as is practical.",100% Organic Cotton,1
7,ORGANIC COTTON KNOWN PLEASURES T-SHIRT,GRAPE MARL,https://cdn.shopify.com/s/files/1/0262/5311/products/KnownPfrm.jpg?v=1632307336,48.96,men,Brothers We Stand,"We recommend that to save water, reduce detergent usage, reduce energy consumption and to extend the life of this garment that you wash it as infrequently as is practical.",100% Organic Cotton,1
8,ORGANIC GEOMETRIC GRID T-SHIRT,WHITE,https://cdn.shopify.com/s/files/1/0262/5311/products/loackme_geometric_grid_2.jpg?v=1633512957,40.8,men,Brothers We Stand,"We recommend that to save water, reduce detergent usage, reduce energy consumption and to extend the life of this garment that you wash it as infrequently as is practical.",100% Organic Cotton,1
9,"ORGANIC COTTON ""FERNWEH"" T-SHIRT",STONEWASHED BLUE,https://cdn.shopify.com/s/files/1/0262/5311/products/Fernweh_Tee_Blue_Full_Web_736x736_c5ada4e7-745c-49ac-8d2a-b63c26ccac3a.jpg?v=1643971803,44.88,men,Brothers We Stand,"We recommend that to save water, reduce detergent usage, reduce energy consumption and to extend the life of this garment that you wash it as infrequently as is practical.",100% Organic Cotton,1
