SN,title,title_color,color,imageUrl,price_nzd,price_usd,gender,material,brand,care,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton,_
1,Bellbird Tee. 1101,Bellbird Tee. 1101_white,white,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/312_Image2_5000x.jpg?v=1632359013,45,30.15,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
2,Bellbird Tee. 1101,Bellbird Tee. 1101_grey marle,grey marle,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1101.BellbirdTee-greymarle-SBP28182_5000x.jpg?v=1635025978,45,30.15,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
3,Bellbird Tee. 1101,Bellbird Tee. 1101_red,red,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1101._20Bellbird_20Tee_20-_20Red_20-_20v2-SBP_8390-329_5000x.jpg?v=1631836057,45,30.15,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
4,Bellbird Tee. 1101,Bellbird Tee. 1101_burgendy,burgendy,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1200_fitted_solid_burgundy_SBP_9828_copy_5000x.jpg?v=1632359010,45,30.15,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
5,Bellbird Tee. 1101,Bellbird Tee. 1101_navy,navy,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1101._20Bellbird_20Tee_20-_20Navy_20-_20SBP_8486-382_5000x.jpg?v=1632359013,45,30.15,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
6,Bellbird Tee. 1101,Bellbird Tee. 1101_black,black,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1101._20Bellbird_20Tee_20-_20Black_20-_20SBP_8424-346_5000x.jpg?v=1632359010,45,30.15,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
7,Ruru Crop Tee. 1104,Ruru Crop Tee. 1104_white,white,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/IMG-5208-jpg_5000x.jpg?v=1634851155,39,26.13,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
8,Ruru Crop Tee. 1104,Ruru Crop Tee. 1104_black,black,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/322_Image3_654a9845-0078-48df-b048-0c7d927dcbf8_5000x.jpg?v=1634677698,39,26.13,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
9,Ruru Crop Tee. 1104,Ruru Crop Tee. 1104_burgendy,burgendy,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1104._20Ruru_20Crop_20Tee_20-_20Burgundy_20-_20SBP_8275-274_b248e673-9ba2-4b45-9eee-9c55ddbb488a_5000x.jpg?v=1634677698,39,26.13,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
10,Ruru Crop Tee. 1104,Ruru Crop Tee. 1104_matcha,matcha,https://cdn.shopify.com/s/files/1/0559/3340/3309/products/1104.RuruCropTee-matcha-SBP28668_5000x.jpg?v=1634676684,39,26.13,women,100% Organic Rain-Fed Cotton,little yellow bird,Machine cold wash with like colours. Do not bleach. Hang dry in shade. Do not iron if printed. Do not dry clean. Do not tumble dry.,100% Organic Rain-Fed Cotton,0,0,0,0,0,0,0,0,1,
