,title,color,imageUrl,price,gender,brand,description,composition,cotton
0,SAS T-shirt,athletic grey,https://images.teemill.com/tz0xiri9ozqk91av5ndoi0ew43kafsju865r1ywrycinl50i.jpeg.webp?w=1080&v=2,34,men,Rapanui,"Certified Organic Cotton t-shirt, 155g/m2. Wash cool, hang dry. GM free. Not tested on animals. Does not contain animal-derived products. Printed in the UK with low waste printing tech. Made in a renewable energy powered factory audited for a wide range of social and sustainability criteria.",100% Organic Cotton,1
1,Moon T-shirt,navy,https://images.teemill.com/1ayua3ulkcgfndsaq30wwlofe21wv8lapyejratcjl5ucpby.jpeg.webp?w=1080&v=2,27.2,men,Rapanui,"Certified Organic Cotton t-shirt, 155g/m2. Wash cool, hang dry. GM free. Not tested on animals. Does not contain animal-derived products. Printed in the UK with low waste printing tech. Made in a renewable energy powered factory audited for a wide range of social and sustainability criteria.",100% Organic Cotton,1
2,Retro T-shirt,athletic grey,https://images.teemill.com/5b2d07d4aad8c8.65285610.jpg.webp?w=1080&v=2,27.2,women,Rapanui,"Certified Organic Cotton t-shirt, 155g/m2. Wash cool, hang dry. GM free. Not tested on animals. Does not contain animal-derived products. Printed in the UK with low waste printing tech. Made in a renewable energy powered factory audited for a wide range of social and sustainability criteria.",100% Organic Cotton,1
3,Swell T-shirt,navy,https://images.teemill.com/5e20510f985cb6.37630107.jpeg.webp?w=1080&v=2,25.84,men,Rapanui,"Certified Organic Cotton t-shirt, 155g/m2. Wash cool, hang dry. GM free. Not tested on animals. Does not contain animal-derived products. Printed in the UK with low waste printing tech. Made in a renewable energy powered factory audited for a wide range of social and sustainability criteria.",100% Organic Cotton,1
4,Ecosia T-shirt,white,https://images.teemill.com/ec3wz6gsunyx7gufwgb0ttl1y8gevmgvwml5sqh0ubew5hgu.jpeg.webp?w=1080&v=2,27.2,men,Rapanui,"Certified Organic Cotton t-shirt, 155g/m2. Wash cool, hang dry. GM free. Not tested on animals. Does not contain animal-derived products. Printed in the UK with low waste printing tech. Made in a renewable energy powered factory audited for a wide range of social and sustainability criteria.",100% Organic Cotton,1
5,Globe T-shirt,denim blue,https://images.teemill.com/j88pidwths2avggmqeeeke6isphzdrpuc9ysaqbmvapleaqe.png.webp?w=1080&v=2,27.2,men,Rapanui,"Certified Organic Cotton t-shirt, 155g/m2. Wash cool, hang dry. GM free. Not tested on animals. Does not contain animal-derived products. Printed in the UK with low waste printing tech. Made in a renewable energy powered factory audited for a wide range of social and sustainability criteria.",100% Organic Cotton,1
6,Waves T-shirt,navy,https://images.teemill.com/5bffff44cd2645.87311791.jpg.webp?w=1080&v=2,27.2,men,Rapanui,"Certified Organic Cotton t-shirt, 155g/m2. Wash cool, hang dry. GM free. Not tested on animals. Does not contain animal-derived products. Printed in the UK with low waste printing tech. Made in a renewable energy powered factory audited for a wide range of social and sustainability criteria.",100% Organic Cotton,1
7,Whale T-shirt,navy,https://images.teemill.com/yn5z54gmtwgvew9xi3cuvjm5wwnqnk5ja4zkavwrllduyvr7.jpeg.webp?w=1080&v=2,27.2,men,Rapanui,"Certified Organic Cotton t-shirt, 155g/m2. Wash cool, hang dry. GM free. Not tested on animals. Does not contain animal-derived products. Printed in the UK with low waste printing tech. Made in a renewable energy powered factory audited for a wide range of social and sustainability criteria.",100% Organic Cotton,1
8,Peace T-shirt,navy,https://images.teemill.com/usutkh68eqv9bmdjmlg7g66vmuameumszcubcq83btj1gwiq.png.webp?w=1080&v=2,27.2,men,Rapanui,"Certified Organic Cotton t-shirt, 155g/m2. Wash cool, hang dry. GM free. Not tested on animals. Does not contain animal-derived products. Printed in the UK with low waste printing tech. Made in a renewable energy powered factory audited for a wide range of social and sustainability criteria.",100% Organic Cotton,1
9,Whale T-shirt,white,https://images.teemill.com/llrmxolrhttgyehrph8ppsu5gndd7cmebiilk8wtsgxn9m6v.png.webp?w=1080&v=2,27.2,men,Rapanui,"Certified Organic Cotton t-shirt, 155g/m2. Wash cool, hang dry. GM free. Not tested on animals. Does not contain animal-derived products. Printed in the UK with low waste printing tech. Made in a renewable energy powered factory audited for a wide range of social and sustainability criteria.",100% Organic Cotton,1
