,title,color,imageUrl,price,description,gender,brand,composition,cotton,hemp,viskose,kapok,lyocell,modal,linen
0,UPPERFRANCONIA T-SHIRT LADIES BLUE,blue,https://www.bleed-clothing.com/media/product/18b/upperfranconia-t-shirt-ladies-blue-bf6.jpg,39.79,Do you know this vintage-print? We would like to show our enthusiasm for our homeland to the whole world! That's why the back of this blue organic cotton T-shirt is adorned with our popular Upper Franconia print.,women,bleed,100% Organic Cotton,1,0,0,0,0,0,0
1,WINDY HEIGHTS HEMP T-SHIRT LADIES OFFWHITE,off white,https://www.bleed-clothing.com/media/product/582/windy-heights-hemp-t-shirt-ladies-offwhite-648.jpg,51.19,Have you ever been lucky enough to experience a sunset from the windy heights? We wanted to encapsulate the magic of moments like this with our hand-drawn ??Nature Rocks?? print. This fairly-produced T-shirt is made from a material mix of hemp and organic cotton and is manufactured at a small factory in Portugal. ,women,bleed,15% Hemp 85% Organic Cotton,0.85,0.15,0,0,0,0,0
2,SUPER ACTIVE LENZING? ECOVERO? T-SHIRT LADIES BLUE,blue,https://www.bleed-clothing.com/media/product/6a5/super-active-lenzingtm-ecoverotm-t-shirt-ladies-blue-723.jpg,56.89,"Did you know that quartz is said to have healing powers? Whether you believe it or not, we??ve embroidered this lucky charm in a tonal design on this functional T-shirt, made from 100% LENZING? ECOVERO?. The structured fabric has a particularly special feel and is soft on your skin, quite unlike other functional materials made from plastics. The flatlock seams on the shoulders have been specially thought up to avoid blisters caused by rucksacks or hydration packs.",women,bleed,100% Viskose,0,0,1,0,0,0,0
3,365 T-SHIRT LYOCELL (TENCEL?) LADIES GREY,grey,https://www.bleed-clothing.com/media/product/17e/365-t-shirt-lyocell-tenceltm-ladies-grey-aa5.jpg,42.07,"Our Ladies Essential T-Shirts are now available in a new cut and in three different colours. The grey version gives you a sporty look. The material has a flecked appearance and is made from 100% soft, flowing Lyocell (TENCEL?). The cut is something special. By not having sleeve seams we can minimize fabric consumption and create a nicer cut with a relaxed fit.",women,bleed,100% Lyocell (TENCEL?),0,0,0,0,1,0,0
4,365 T-SHIRT KAPOK LADIES WHITE,white,https://www.bleed-clothing.com/media/product/9b4/365-t-shirt-kapok-ladies-white-caa.jpg,42.07,"Our Ladies Essential T-Shirts are now available in a new cut and in three different colours. Since a white T-shirt should be a staple in any wardrobe, we've created a fair, ecological and functional variant for you. The material is a mix of kapok and organic cotton which makes this T-shirt soft and breathable and ensures you won't break out in a sweat. The cut is also something special. By not having sleeve seams we can minimize fabric consumption and create a nicer cut with a relaxed fit.",women,bleed,"15% Kapok, 85% Organic Cotton",0.85,0.15,0,0,0,0,0
5,365 T-SHIRT LYOCELL (TENCEL?) LADIES BLACK,black,https://www.bleed-clothing.com/media/product/471/365-t-shirt-lyocell-tenceltm-ladies-black-a31.jpg,42.07,"Our Ladies Essential T-Shirts are now available in a new cut and in three different colours. The black version goes with any outfit. You can wear it as part of a sporty or elegant look. The material is made from 100% super soft, flowing Lyocell (TENCEL?). The cut is something special. By not having sleeve seams we can minimize fabric consumption and create a nicer cut with a relaxed fit.",women,bleed,100% Lyocell (TENCEL?),0,0,0,0,1,0,0
6,ALPINE SWIFT HEMP T-SHIRT LADIES OFFWHITE,off white,https://www.bleed-clothing.com/media/product/d50/alpine-swift-hemp-t-shirt-ladies-offwhite-a3a.jpg,38.42,You??re truly lucky if you??ve ever seen a graceful Alpine swift in the wild. This unique bird is in danger of becoming extinct in Germany. We think it??s incredibly important to protect all endangered species. That??s why we??ve put these birds centre stage on this T-shirt with a handmade print. The T-shirt itself is made of a mix of hemp and organic cotton. This means that pesticide can be avoided during the material cultivation phase and several litres of water are saved. ,women,bleed,15% Hemp 85% Organic Cotton,0.85,0.15,0,0,0,0,0
7,LAKEFLY T-SHIRT LADIES WHITE,white,https://www.bleed-clothing.com/media/product/0d0/lakefly-t-shirt-ladies-white-24b.jpg,34.09,Dragonflies come in so many different colours. Their iridescent wings and bodies are always fascinating. The water-based print on this 100% organic cotton T-shirt should add a touch of their beauty to your daily life. The feminine cut of this GOTS-certified T-shirt is sure to flatter your figure.,women,bleed,100% Organic Cotton,1,0,0,0,0,0,0
8,LAKEFLY FORESTFIBRE T-SHIRT LADIES BLUE,blue,https://www.bleed-clothing.com/media/product/e49/lakefly-forestfibre-t-shirt-ladies-blue-c3d.jpg,42.64,"Watching dragonflies dance in the summer sun never ceases to amaze. That??s why they adorn this casual, floaty T-shirt made from modal (TENCEL?) and organic cotton. Thanks the breathable and odour-neutralising qualities of the material, it??s also suitable for sportier activities. The relaxed fit with dropped shoulders also flatters every figure. ",women,bleed,50% Modal (TENCEL?) 50% Organic Cotton,0.5,0,0,0,0,0.5,0
9,FERNSTER FORESTFIBRE T-SHIRT LADIES YELLOW,yellow,https://www.bleed-clothing.com/media/product/c8d/fernster-forestfibre-t-shirt-ladies-yellow-b7c.jpg,42.64,"The more relaxed, floaty cut of this T-shirt is sure to become your favourite, because the dropped shoulders flatter every figure. The embroidered fern and lemon yellow colour are also an instant mood booster. This T-shirt is in an innovative mixed material made from modal (TENCEL?) and organic cotton which is perfect for sportier activities thanks to its breathable and odour-neutralising qualities.",women,bleed,50% Modal (TENCEL?) 50% Organic Cotton,0.5,0,0,0,0,0.5,0
