SN,title,color,imageUrl,price_euro,price_usd,material,gender,brand,kapok,vibrose,linen,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
1,UPPERFRANCONIA T-SHIRT LADIES BLUE,blue,https://www.bleed-clothing.com/media/product/18b/upperfranconia-t-shirt-ladies-blue-bf6.jpg,34.9,39.79,100% Organic Cotton,women,bleed,0,0,0,0,0,0,0,0,0,0,0,1
2,WINDY HEIGHTS HEMP T-SHIRT LADIES OFFWHITE,off white,https://www.bleed-clothing.com/media/product/582/windy-heights-hemp-t-shirt-ladies-offwhite-648.jpg,44.9,51.19,15% Hemp 85% Organic Cotton,women,bleed,0,0,0.15,0,0,0,0,0,0,0,0,0.85
3,SUPER ACTIVE LENZING? ECOVERO? T-SHIRT LADIES BLUE,blue,https://www.bleed-clothing.com/media/product/6a5/super-active-lenzingtm-ecoverotm-t-shirt-ladies-blue-723.jpg,49.9,56.89,100% Viskose,women,bleed,0,1,0,0,0,0,0,0,0,0,0,0
4,365 T-SHIRT LYOCELL (TENCEL?) LADIES GREY,grey,https://www.bleed-clothing.com/media/product/17e/365-t-shirt-lyocell-tenceltm-ladies-grey-aa5.jpg,36.9,42.07,100% Lyocell (TENCEL?),women,bleed,0,0,0,0,0,0,0,0,0,0,1,0
5,365 T-SHIRT KAPOK LADIES WHITE,white,https://www.bleed-clothing.com/media/product/9b4/365-t-shirt-kapok-ladies-white-caa.jpg,36.9,42.07,"15% Kapok, 85% Organic Cotton",women,bleed,0.15,0,0,0,0,0,0,0,0,0,0,0.85
6,365 T-SHIRT LYOCELL (TENCEL?) LADIES BLACK,black,https://www.bleed-clothing.com/media/product/471/365-t-shirt-lyocell-tenceltm-ladies-black-a31.jpg,36.9,42.07,100% Lyocell (TENCEL?),women,bleed,0,0,0,0,0,0,0,0,0,0,1,0
7,ALPINE SWIFT HEMP T-SHIRT LADIES OFFWHITE,off white,https://www.bleed-clothing.com/media/product/d50/alpine-swift-hemp-t-shirt-ladies-offwhite-a3a.jpg,33.7,38.42,15% Hemp 85% Organic Cotton,women,bleed,0,0,0.15,0,0,0,0,0,0,0,0,0.85
8,LAKEFLY T-SHIRT LADIES WHITE,white,https://www.bleed-clothing.com/media/product/0d0/lakefly-t-shirt-ladies-white-24b.jpg,29.9,34.09,100% Organic Cotton,women,bleed,0,0,0,0,0,0,0,0,0,0,0,1
9,LAKEFLY FORESTFIBRE T-SHIRT LADIES BLUE,blue,https://www.bleed-clothing.com/media/product/e49/lakefly-forestfibre-t-shirt-ladies-blue-c3d.jpg,37.4,42.64,50% Modal (TENCEL?) 50% Organic Cotton,women,bleed,0,0,0,0,0,0,0,0,0,0.5,0,0.5
10,FERNSTER FORESTFIBRE T-SHIRT LADIES YELLOW,yellow,https://www.bleed-clothing.com/media/product/c8d/fernster-forestfibre-t-shirt-ladies-yellow-b7c.jpg,37.4,42.64,50% Modal (TENCEL?) 50% Organic Cotton,women,bleed,0,0,0,0,0,0,0,0,0,0.5,0,0.5
11,STRIPED LINEN T-SHIRT LADIES SAND,sand,https://www.bleed-clothing.com/media/product/e40/striped-linen-t-shirt-ladies-sand-fa1.jpg,37.4,42.64,"50% Linen, 50% Organic Cotton",women,bleed,0,0,0.5,0,0,0,0,0,0,0,0,0.5
12,SCHWAMMA T-SHIRT LADIES WHITE,white,https://www.bleed-clothing.com/media/product/81d/schwamma-t-shirt-ladies-white-bb8.jpg,36.9,42.07,100% Organic Cotton,women,bleed,0,0,0,0,0,0,0,0,0,0,0,1
13,FLAGTREE T-SHIRT LADIES BLUE,blue,https://www.bleed-clothing.com/media/product/017/flagtree-t-shirt-ladies-blue-a67.jpg,34.9,39.79,100% Organic Cotton,women,bleed,0,0,0,0,0,0,0,0,0,0,0,1
14,STRANGESTFOREST T-SHIRT BLACK,black,https://www.bleed-clothing.com/media/product/666/strangestforest-t-shirt-black-8bf.jpg,34.9,39.79,100% Organic Cotton,women,bleed,0,0,0,0,0,0,0,0,0,0,0,1
15,UPPERFRANCONIA T-SHIRT LADIES WHITE,white,https://www.bleed-clothing.com/media/product/672/upperfranconia-t-shirt-ladies-white-32c.jpg,34.9,39.79,100% Organic Cotton,women,bleed,0,0,0,0,0,0,0,0,0,0,0,1
16,HOMEGROWN FICHTEL T-SHIRT LADIES GREY MELANGE,GREY MELANGE,https://www.bleed-clothing.com/media/product/317/homegrown-fichtel-t-shirt-ladies-grey-melange-c18.jpg,34.9,39.79,100% Organic Cotton,women,bleed,0,0,0,0,0,0,0,0,0,0,0,1
