,title,color,imageUrl,price,gender,brand,description,composition,cotton
0,STFP T-SHIRT (WHITE),white,https://cdn.shopify.com/s/files/1/2380/6877/products/stfpfront.jpg?v=1639028187,35,unisex,Chnge,cold water wash and tumble dry low,100% GOTS Certified Organic Cotton,1
1,WPP2P T-SHIRT,white,https://cdn.shopify.com/s/files/1/2380/6877/products/powertothepeacefulback_b8f1cb89-87fd-4c6b-ae3a-4adc8b4625f2.jpg?v=1637413060,35,unisex,Chnge,cold water wash and tumble dry low,100% GOTS Certified Organic Cotton,1
2,MFFA T-SHIRT (WHITE),white,https://cdn.shopify.com/s/files/1/2380/6877/products/mffafront.jpg?v=1637357697,35,unisex,Chnge,cold water wash and tumble dry low,100% GOTS Certified Organic Cotton,1
3,LOVE EVERYBODY S/S T-SHIRT (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/000181700003.jpg?v=1642008767,35,unisex,Chnge,cold water wash and tumble dry low,100% GOTS Certified Organic Cotton,1
4,LOVE MORE S/S T-SHIRT (JUNIPER),juniper,https://cdn.shopify.com/s/files/1/2380/6877/products/000415860009.jpg?v=1642008988,35,unisex,Chnge,cold water wash and tumble dry low,100% GOTS Certified Organic Cotton,1
5,HAPPY LOVE PIECED S/S T-SHIRT (JUNIPER/CHALK),juniper/chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/000415990004.jpg?v=1642040353,35,unisex,Chnge,cold water wash and tumble dry low,100% GOTS Certified Organic Cotton,1
6,GIAPC S/S T-SHIRT (LION),lion,https://cdn.shopify.com/s/files/1/2380/6877/products/000810670005.jpg?v=1642523424,35,unisex,Chnge,cold water wash and tumble dry low,100% GOTS Certified Organic Cotton,1
7,LOVE EVERYBODY S/S T-SHIRT (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/000810600005.jpg?v=1642040399,35,unisex,Chnge,cold water wash and tumble dry low,100% GOTS Certified Organic Cotton,1
8,TIE DYE GROWTH IS A PROCESS S/S T-SHIRT,multi_color,https://cdn.shopify.com/s/files/1/2380/6877/products/000217510004.jpg?v=1638897536,41,unisex,Chnge,cold water wash and tumble dry low,100% GOTS Certified Organic Cotton,1
9,APTTP S/S T-SHIRT (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/000415980010.jpg?v=1641955055,35,unisex,Chnge,cold water wash and tumble dry low,100% GOTS Certified Organic Cotton,1
10,WDOYS T-SHIRT (WHITE),white,https://cdn.shopify.com/s/files/1/2380/6877/products/WomenDontOweYouShitWhite_1.jpg?v=1629410412,35,unisex,Chnge,cold water wash and tumble dry low,100% GOTS Certified Organic Cotton,1
