,title,color,imageUrl,price,gender,brand,description,composition,cotton
0,Women's Black V-Neck T-Shirt Organic Fairtrade,black,https://cdn.shopify.com/s/files/1/0004/5252/6146/products/BlackWomens-VNeckTee_608cea2b-1921-40c8-973c-3bba442a5a02_720x.jpg?v=1605962698,32.05,women,etiko,These extra cozy t-shirts are good for your conscience. We make sure everyone during production is treated fairly. From the farmers who grow the cotton to the workers who make the garments all of our shirts are Certified fair trade and organic. Easy to mix and match these long sleeve tees are great for layering in cooler weather and will compliment any wardrobe. ,100% Certified organic cotton,1
1,Womens Grey Marle V-Neck Organic Fairtrade Tee,grey marle,https://cdn.shopify.com/s/files/1/0004/5252/6146/products/2N2A0133_720x.jpg?v=1605964495,32.05,women,etiko,These extra cozy t-shirts are good for your conscience. We make sure everyone during production is treated fairly. From the farmers who grow the cotton to the workers who make the garments all of our shirts are Certified fair trade and organic. Easy to mix and match these long sleeve tees are great for layering in cooler weather and will compliment any wardrobe. ,100% Certified organic cotton,1
2,Womens Navy V-Neck Organic Fairtrade Tee,navy,https://cdn.shopify.com/s/files/1/0004/5252/6146/products/NavyWomens-VNeckTee-2_720x.jpg?v=1605969908,32.05,women,etiko,These extra cozy t-shirts are good for your conscience. We make sure everyone during production is treated fairly. From the farmers who grow the cotton to the workers who make the garments all of our shirts are Certified fair trade and organic. Easy to mix and match these long sleeve tees are great for layering in cooler weather and will compliment any wardrobe. ,100% Certified organic cotton,1
3,Womens White V-Neck Organic Fairtrade Tee,white,https://cdn.shopify.com/s/files/1/0004/5252/6146/products/WhiteWomens-VNeckTee_f2b628cf-3d9c-4257-b6f9-aedf73ef0eea_720x.jpg?v=1605971492,32.05,women,etiko,These extra cozy t-shirts are good for your conscience. We make sure everyone during production is treated fairly. From the farmers who grow the cotton to the workers who make the garments all of our shirts are Certified fair trade and organic. Easy to mix and match these long sleeve tees are great for layering in cooler weather and will compliment any wardrobe. ,100% Certified organic cotton,1
4,Women's Black T-Shirt Organic Fairtrade,black,https://cdn.shopify.com/s/files/1/0004/5252/6146/products/BlackWomens-RoundNeckTee_d422649e-d1ab-4d8c-8291-9115144d9005_720x.jpg?v=1605280121,32.05,women,etiko,These extra cozy t-shirts are good for your conscience. We make sure everyone during production is treated fairly. From the farmers who grow the cotton to the workers who make the garments all of our shirts are Certified fair trade and organic. Easy to mix and match these long sleeve tees are great for layering in cooler weather and will compliment any wardrobe. ,100% Certified organic cotton,1
5,Womens Charcoal Organic Fairtrade Tee,charcoal,https://cdn.shopify.com/s/files/1/0004/5252/6146/products/CharcolWomens-RoundNeckTee-3_720x.jpg?v=1605966043,32.05,women,etiko,These extra cozy t-shirts are good for your conscience. We make sure everyone during production is treated fairly. From the farmers who grow the cotton to the workers who make the garments all of our shirts are Certified fair trade and organic. Easy to mix and match these long sleeve tees are great for layering in cooler weather and will compliment any wardrobe. ,100% Certified organic cotton,1
6,Womens Grey Marle Organic Fairtrade Tee,grey marle,https://cdn.shopify.com/s/files/1/0004/5252/6146/products/GreyWomens-RoundNeckTee-2_720x.jpg?v=1605967371,32.05,women,etiko,These extra cozy t-shirts are good for your conscience. We make sure everyone during production is treated fairly. From the farmers who grow the cotton to the workers who make the garments all of our shirts are Certified fair trade and organic. Easy to mix and match these long sleeve tees are great for layering in cooler weather and will compliment any wardrobe. ,100% Certified organic cotton,1
7,Womens Navy Organic Fairtrade Tee,navy,https://cdn.shopify.com/s/files/1/0004/5252/6146/products/NavyWomens-RoundNeckTee_18a10ab5-1963-4d32-9631-b0872b9be4a0_720x.jpg?v=1605968636,32.05,women,etiko,These extra cozy t-shirts are good for your conscience. We make sure everyone during production is treated fairly. From the farmers who grow the cotton to the workers who make the garments all of our shirts are Certified fair trade and organic. Easy to mix and match these long sleeve tees are great for layering in cooler weather and will compliment any wardrobe. ,100% Certified organic cotton,1
8,Womens White Organic Fairtrade Tee,white,https://cdn.shopify.com/s/files/1/0004/5252/6146/products/WhiteWomens-RoundNeckTee_1_720x.jpg?v=1605970562,32.05,women,etiko,These extra cozy t-shirts are good for your conscience. We make sure everyone during production is treated fairly. From the farmers who grow the cotton to the workers who make the garments all of our shirts are Certified fair trade and organic. Easy to mix and match these long sleeve tees are great for layering in cooler weather and will compliment any wardrobe. ,100% Certified organic cotton,1
9,Women's Black Long Sleeve T-Shirt Organic Fairtrade,black,https://cdn.shopify.com/s/files/1/0004/5252/6146/products/Long_Sleeve_Tees_copy_5_720x.png?v=1605278879,35.61,women,etiko,These extra cozy t-shirts are good for your conscience. We make sure everyone during production is treated fairly. From the farmers who grow the cotton to the workers who make the garments all of our shirts are Certified fair trade and organic. Easy to mix and match these long sleeve tees are great for layering in cooler weather and will compliment any wardrobe. ,100% Certified organic cotton,1
10,Womens Grey Marle Long Sleeve T-Shirt Organic Fairtrade,grey marle,https://cdn.shopify.com/s/files/1/0004/5252/6146/products/Long_Sleeve_Tees_copy_3_720x.png?v=1605966706,35.61,women,etiko,These extra cozy t-shirts are good for your conscience. We make sure everyone during production is treated fairly. From the farmers who grow the cotton to the workers who make the garments all of our shirts are Certified fair trade and organic. Easy to mix and match these long sleeve tees are great for layering in cooler weather and will compliment any wardrobe. ,100% Certified organic cotton,1
11,Womens Navy Long Sleeve T-Shirt Organic Fairtrade,navy,https://cdn.shopify.com/s/files/1/0004/5252/6146/products/Long_Sleeve_Tees_1_720x.png?v=1539151233,35.61,women,etiko,These extra cozy t-shirts are good for your conscience. We make sure everyone during production is treated fairly. From the farmers who grow the cotton to the workers who make the garments all of our shirts are Certified fair trade and organic. Easy to mix and match these long sleeve tees are great for layering in cooler weather and will compliment any wardrobe. ,100% Certified organic cotton,1
12,Wear No Evil Black T-Shirt - Women's Organic Fairtrade,black,https://cdn.shopify.com/s/files/1/0004/5252/6146/products/EtikoLogoWomens-PrintedTee-2_720x.jpg?v=1605276615,42.74,women,etiko,These extra cozy t-shirts are good for your conscience. We make sure everyone during production is treated fairly. From the farmers who grow the cotton to the workers who make the garments all of our shirts are Certified fair trade and organic. Easy to mix and match these long sleeve tees are great for layering in cooler weather and will compliment any wardrobe. ,100% Certified organic cotton,1
13,Zoo Hair White T-Shirt - Women's Organic Fairtrade,white,https://cdn.shopify.com/s/files/1/0004/5252/6146/products/LadyFace-PrintedTee-2_720x.jpg?v=1605973577,42.74,women,etiko,These extra cozy t-shirts are good for your conscience. We make sure everyone during production is treated fairly. From the farmers who grow the cotton to the workers who make the garments all of our shirts are Certified fair trade and organic. Easy to mix and match these long sleeve tees are great for layering in cooler weather and will compliment any wardrobe. ,100% Certified organic cotton,1
