SN,title,description,features,price,color,gender,imageUrl,rating,reviews,brand,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
1,Women's Organic Scoop Neck Tee,"Building a sustainable wardrobe starts with essential pieces you can wear just about anywhere. Our Organic Scoop Neck Tee is designed to be the go-to t-shirt of your closet. We worked painstakingly to perfect the neckline, finishing it with a fine rib trim that helps hold its shape and added just enough gentle shaping through the body for a comfortable, timeless fit.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,black,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/210A3402_900x.jpg?v=1632588571,4.7,118,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
2,Women's Organic Scoop Neck Tee,"Building a sustainable wardrobe starts with essential pieces you can wear just about anywhere. Our Organic Scoop Neck Tee is designed to be the go-to t-shirt of your closet. We worked painstakingly to perfect the neckline, finishing it with a fine rib trim that helps hold its shape and added just enough gentle shaping through the body for a comfortable, timeless fit.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,white,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02600_White_064_FW21_2400x.jpg?v=1632588571,4.7,118,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
3,Women's Organic Scoop Neck Tee,"Building a sustainable wardrobe starts with essential pieces you can wear just about anywhere. Our Organic Scoop Neck Tee is designed to be the go-to t-shirt of your closet. We worked painstakingly to perfect the neckline, finishing it with a fine rib trim that helps hold its shape and added just enough gentle shaping through the body for a comfortable, timeless fit.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,cranberry,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02600_cranberry_900x.jpg?v=1632588571,4.7,118,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
4,Women's Organic Scoop Neck Tee,"Building a sustainable wardrobe starts with essential pieces you can wear just about anywhere. Our Organic Scoop Neck Tee is designed to be the go-to t-shirt of your closet. We worked painstakingly to perfect the neckline, finishing it with a fine rib trim that helps hold its shape and added just enough gentle shaping through the body for a comfortable, timeless fit.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,dusk,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02600_Dusk_009_FW21_B_900x.jpg?v=1636489285,4.7,118,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
5,Women's Organic Scoop Neck Tee,"Building a sustainable wardrobe starts with essential pieces you can wear just about anywhere. Our Organic Scoop Neck Tee is designed to be the go-to t-shirt of your closet. We worked painstakingly to perfect the neckline, finishing it with a fine rib trim that helps hold its shape and added just enough gentle shaping through the body for a comfortable, timeless fit.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,midnight navy,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02600_midnight_navy_FW21_S_900x.jpg?v=1632588571,4.7,118,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
6,Women's Organic Scoop Neck Tee,"Building a sustainable wardrobe starts with essential pieces you can wear just about anywhere. Our Organic Scoop Neck Tee is designed to be the go-to t-shirt of your closet. We worked painstakingly to perfect the neckline, finishing it with a fine rib trim that helps hold its shape and added just enough gentle shaping through the body for a comfortable, timeless fit.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,violet blue,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/WH_LD_02600_violet_blue_900x.jpg?v=1632588432,4.7,118,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
7,Women's Organic Scoop Neck Tee,"Building a sustainable wardrobe starts with essential pieces you can wear just about anywhere. Our Organic Scoop Neck Tee is designed to be the go-to t-shirt of your closet. We worked painstakingly to perfect the neckline, finishing it with a fine rib trim that helps hold its shape and added just enough gentle shaping through the body for a comfortable, timeless fit.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,sea blue,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02600_sea_blue_900x.jpg?v=1632588571,4.7,118,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
8,Women's Organic Scoop Neck Tee,"Building a sustainable wardrobe starts with essential pieces you can wear just about anywhere. Our Organic Scoop Neck Tee is designed to be the go-to t-shirt of your closet. We worked painstakingly to perfect the neckline, finishing it with a fine rib trim that helps hold its shape and added just enough gentle shaping through the body for a comfortable, timeless fit.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",38.9,guava,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/CF_02600_GUAVA_528_900x.jpg?v=1632588571,4.7,118,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
9,Women's Organic Long Sleeve Scoop Neck Tee,"A sustainable minimalist closet starts with go-to pieces like our Long Sleeve Scoop Neck Tee. Customers have been raving about it since its introduction in 2010. We worked hard to perfect the beautiful scoop neckline, finishing it with a fine rib trim that helps hold its shape. The cut has just enough gentle shaping through the body.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,black,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02800_Black_231_FW21_900x.jpg?v=1630103662,4.7,93,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
10,Women's Organic Long Sleeve Scoop Neck Tee,"A sustainable minimalist closet starts with go-to pieces like our Long Sleeve Scoop Neck Tee. Customers have been raving about it since its introduction in 2010. We worked hard to perfect the beautiful scoop neckline, finishing it with a fine rib trim that helps hold its shape. The cut has just enough gentle shaping through the body.","95% organic Pima cotton 5% spandex stretch jersey; The hint of spandex adds comfortable stretch and helps retain shape; Earth-friendly, certified safe dyes; Machine wash; 25.5-inch length (size Medium); Gently shaped fit; Fairly made in Lima, Peru; Mix + Match: Save 10% when you buy 2 or more organic cotton t-shirts",43.9,white,women,https://cdn.shopify.com/s/files/1/0028/2525/7027/products/BG_OF_02800_White_988_FW21_900x.jpg?v=1630104095,4.7,93,fair indigo,95% organic Pima cotton 5% spandex,0,0,0.05,0,0,0,0,0,0.95
