SN,title,description,review,rating,price_euro,price_usd,color,basic_color,gender,imageUrl,brand,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton,linen,wool,silk
1,Jane Premium t-shirt,"Our premium T-shirt made from 100% organic Pima cotton is a luxurious all-rounder for every situation, whether for leisure or for work. The slightly fitted design with side vents, a neckline edged with a fine ribbed fabric and a small label at the hem is classically subtle and can be worn with a wide range of outfits. Pima cotton is particularly fine and comfortable - experience a truly special level of comfort and an exceptional look.",1,2,29.99,33.89,cameo blue,blue,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63885/5_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
2,Jane Premium t-shirt,"Our premium T-shirt made from 100% organic Pima cotton is a luxurious all-rounder for every situation, whether for leisure or for work. The slightly fitted design with side vents, a neckline edged with a fine ribbed fabric and a small label at the hem is classically subtle and can be worn with a wide range of outfits. Pima cotton is particularly fine and comfortable - experience a truly special level of comfort and an exceptional look.",1,2,29.99,33.89,taupe,gray,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63885/4_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
3,Jane Premium t-shirt,"Our premium T-shirt made from 100% organic Pima cotton is a luxurious all-rounder for every situation, whether for leisure or for work. The slightly fitted design with side vents, a neckline edged with a fine ribbed fabric and a small label at the hem is classically subtle and can be worn with a wide range of outfits. Pima cotton is particularly fine and comfortable - experience a truly special level of comfort and an exceptional look.",1,2,29.99,33.89,vocalno,black,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63885/3_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
4,Jane Premium t-shirt,"Our premium T-shirt made from 100% organic Pima cotton is a luxurious all-rounder for every situation, whether for leisure or for work. The slightly fitted design with side vents, a neckline edged with a fine ribbed fabric and a small label at the hem is classically subtle and can be worn with a wide range of outfits. Pima cotton is particularly fine and comfortable - experience a truly special level of comfort and an exceptional look.",1,2,29.99,33.89,white,white,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63885/2_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
5,FRIEDA T-shirt,"Up close - the argument for certified natural fashion is obvious: A sustainable manufacturing process in accordance with high socio-ecological standards. The argument for high-quality organic cotton, however, is on your skin: The pure material in high-grade single jersey quality (120 g/m²) gives you pleasant wearing comfort. The slightly fitted women's cut provides for room to move, the crew neck of the durable organic shirt comes with a ribbed cuff. Regular fit.",5,3,12.99,14.68,azur,blue,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63865/6_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
6,FRIEDA T-shirt,"Up close - the argument for certified natural fashion is obvious: A sustainable manufacturing process in accordance with high socio-ecological standards. The argument for high-quality organic cotton, however, is on your skin: The pure material in high-grade single jersey quality (120 g/m²) gives you pleasant wearing comfort. The slightly fitted women's cut provides for room to move, the crew neck of the durable organic shirt comes with a ribbed cuff. Regular fit.",5,3,12.99,14.68,black,black,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63865/2_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
7,FRIEDA T-shirt,"Up close - the argument for certified natural fashion is obvious: A sustainable manufacturing process in accordance with high socio-ecological standards. The argument for high-quality organic cotton, however, is on your skin: The pure material in high-grade single jersey quality (120 g/m²) gives you pleasant wearing comfort. The slightly fitted women's cut provides for room to move, the crew neck of the durable organic shirt comes with a ribbed cuff. Regular fit.",5,3,12.99,14.68,hortensia,gray,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63865/7_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
8,FRIEDA T-shirt,"Up close - the argument for certified natural fashion is obvious: A sustainable manufacturing process in accordance with high socio-ecological standards. The argument for high-quality organic cotton, however, is on your skin: The pure material in high-grade single jersey quality (120 g/m²) gives you pleasant wearing comfort. The slightly fitted women's cut provides for room to move, the crew neck of the durable organic shirt comes with a ribbed cuff. Regular fit.",5,3,12.99,14.68,mimosa,yellow,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63865/9_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
9,FRIEDA T-shirt,"Up close - the argument for certified natural fashion is obvious: A sustainable manufacturing process in accordance with high socio-ecological standards. The argument for high-quality organic cotton, however, is on your skin: The pure material in high-grade single jersey quality (120 g/m²) gives you pleasant wearing comfort. The slightly fitted women's cut provides for room to move, the crew neck of the durable organic shirt comes with a ribbed cuff. Regular fit.",5,3,12.99,14.68,navy,blue,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63865/4_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
10,FRIEDA T-shirt,"Up close - the argument for certified natural fashion is obvious: A sustainable manufacturing process in accordance with high socio-ecological standards. The argument for high-quality organic cotton, however, is on your skin: The pure material in high-grade single jersey quality (120 g/m²) gives you pleasant wearing comfort. The slightly fitted women's cut provides for room to move, the crew neck of the durable organic shirt comes with a ribbed cuff. Regular fit.",5,3,12.99,14.68,orange peel,orange,women,https://www.livingcrafts.de/file/thumb/shop/extrapicture/63865/8_sizeby_exact_sizewidth_1400_sizeheight_1400.jpg,Living Craft,100 % Cotton (organic),0,0,0,0,0,0,0,0,1,0,0,0
