,title,color,imageUrl,price,gender,brand,description,composition,cotton
0,Organic Cotton V Neck Tee,black,https://cdn.shopify.com/s/files/1/0518/6281/products/964JBLK-6_900x.jpg?v=1629743839,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
1,Organic Cotton V Neck Tee,charcoal,https://cdn.shopify.com/s/files/1/0518/6281/products/964CHAR-2_82ff0b3c-3607-458b-a3a9-c76e3df844e3_900x.jpg?v=1629743838,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
2,Organic Cotton V Neck Tee,bone,https://cdn.shopify.com/s/files/1/0518/6281/products/964BON-2_e4c26d25-b480-4954-9658-6d2faefef66f_900x.jpg?v=1629743836,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
3,Organic Cotton V Neck Tee,rose,https://cdn.shopify.com/s/files/1/0518/6281/products/210713_BC_MTL_ESSENTIALS_RESHOOT_LOOK_23_0023_900x.jpg?v=1629743842,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
4,Organic Cotton V Neck Tee,sage,https://cdn.shopify.com/s/files/1/0518/6281/products/964SAG-2_8716f344-3285-42f3-a95a-1c3b4af981e6_900x.jpg?v=1629743841,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
5,Organic Cotton V Neck Tee,white,https://cdn.shopify.com/s/files/1/0518/6281/products/964TWHT-5_900x.jpg?v=1598552471,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
6,Organic Cotton Classic Tee,cherry,https://cdn.shopify.com/s/files/1/0518/6281/products/764CHY_4_900x.jpg?v=1643343327,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
7,Organic Cotton Classic Tee,amber,https://cdn.shopify.com/s/files/1/0518/6281/products/210802_BC_MTL_LOOK_20_AMBER_CLASSIC_TEE_0006_900x.jpg?v=1632533974,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
8,Organic Cotton Classic Tee,cocoa,https://cdn.shopify.com/s/files/1/0518/6281/products/Matethelabel61f2eaf01faea461f2eaf01fc39.5805964561f2eaf01fc39_900x.jpg?v=1643343388,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
9,Organic Cotton Classic Tee,latte,https://cdn.shopify.com/s/files/1/0518/6281/products/764LAT-1_2_6ec0cde8-6c69-4029-89a2-f3b5ff4b6594_900x.jpg?v=1605914081,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
10,Organic Cotton Classic Tee,lavender,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_02_0006_900x.jpg?v=1629743869,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
11,Organic Cotton Classic Tee,midnght,https://cdn.shopify.com/s/files/1/0518/6281/products/210802_BC_MTL_LOOK_06_MIDNIGHT_0051_900x.jpg?v=1632531451,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
12,Organic Cotton Classic Tee,pistachio,https://cdn.shopify.com/s/files/1/0518/6281/products/210526_MTL_PISTACHIO_LAVENDER_ECOMM_LOOK_12_0025_1_900x.jpg?v=1629743870,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
13,Organic Cotton Classic Tee,sedona,https://cdn.shopify.com/s/files/1/0518/6281/products/1706_900x.jpg?v=1627509426,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
14,Organic Cotton Classic Tee,turmeric,https://cdn.shopify.com/s/files/1/0518/6281/products/3244_900x.jpg?v=1600120123,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
15,Organic Cotton Classic Tee,bone,https://cdn.shopify.com/s/files/1/0518/6281/products/764BON-1_656f28a9-d53d-4cf4-88ae-0e5ff920e555_900x.jpg?v=1629225175,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
16,Organic Cotton Classic Tee,charcoal,https://cdn.shopify.com/s/files/1/0518/6281/products/764CHAR-5_900x.jpg?v=1629231239,48,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,1
