SN,title,title&color,color,imageUrl,price_usd,material,gender,brand,care,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton,_
1,Organic Cotton V Neck Tee,Organic Cotton V Neck Tee_black,black,https://cdn.shopify.com/s/files/1/0518/6281/products/964JBLK-6_900x.jpg?v=1629743839,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
2,Organic Cotton V Neck Tee,Organic Cotton V Neck Tee_charcoal,charcoal,https://cdn.shopify.com/s/files/1/0518/6281/products/964CHAR-2_82ff0b3c-3607-458b-a3a9-c76e3df844e3_900x.jpg?v=1629743838,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
3,Organic Cotton V Neck Tee,Organic Cotton V Neck Tee_bone,bone,https://cdn.shopify.com/s/files/1/0518/6281/products/964BON-2_e4c26d25-b480-4954-9658-6d2faefef66f_900x.jpg?v=1629743836,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
4,Organic Cotton V Neck Tee,Organic Cotton V Neck Tee_rose,rose,https://cdn.shopify.com/s/files/1/0518/6281/products/210713_BC_MTL_ESSENTIALS_RESHOOT_LOOK_23_0023_900x.jpg?v=1629743842,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
5,Organic Cotton V Neck Tee,Organic Cotton V Neck Tee_sage,sage,https://cdn.shopify.com/s/files/1/0518/6281/products/964SAG-2_8716f344-3285-42f3-a95a-1c3b4af981e6_900x.jpg?v=1629743841,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
6,Organic Cotton V Neck Tee,Organic Cotton V Neck Tee_white,white,https://cdn.shopify.com/s/files/1/0518/6281/products/964TWHT-5_900x.jpg?v=1598552471,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
7,Organic Cotton Classic Tee,Organic Cotton Classic Tee_cherry,cherry,https://cdn.shopify.com/s/files/1/0518/6281/products/764CHY_4_900x.jpg?v=1643343327,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
8,Organic Cotton Classic Tee,Organic Cotton Classic Tee_amber,amber,https://cdn.shopify.com/s/files/1/0518/6281/products/210802_BC_MTL_LOOK_20_AMBER_CLASSIC_TEE_0006_900x.jpg?v=1632533974,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
9,Organic Cotton Classic Tee,Organic Cotton Classic Tee_cocoa,cocoa,https://cdn.shopify.com/s/files/1/0518/6281/products/Matethelabel61f2eaf01faea461f2eaf01fc39.5805964561f2eaf01fc39_900x.jpg?v=1643343388,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
10,Organic Cotton Classic Tee,Organic Cotton Classic Tee_latte,latte,https://cdn.shopify.com/s/files/1/0518/6281/products/764LAT-1_2_6ec0cde8-6c69-4029-89a2-f3b5ff4b6594_900x.jpg?v=1605914081,48.00,100% Organic Cotton Jersey,women,Mate,Machine wash cold with like colors; Tumble dry low; Do not bleach,100% Organic Cotton Jersey,0,0,0,0,0,0,0,0,1,
