,title,description,price,color,gender,imageUrl,brand,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
0,The Boxy Crew,"On repeat. Our boxy crew is so versatile, it can’t be played out. Made with perfectly good cutting waste, otherwise destined for a landfill, and blended with the softest organic cotton- you’ll never guess this tee was made from scraps. Complete with a worn-in wash, from non-toxic and low impact dyes, this tee is a hit.",54,bone,women,https://cdn.shopify.com/s/files/1/0273/5010/6215/products/1-TSS_9044copyNewSlider_900x.jpg?v=1623815519,thestandardstitch,100%cotton,0,0,0,0,0,0,0,0,1
1,The Boxy Crew,"On repeat. Our boxy crew is so versatile, it can’t be played out. Made with perfectly good cutting waste, otherwise destined for a landfill, and blended with the softest organic cotton- you’ll never guess this tee was made from scraps. Complete with a worn-in wash, from non-toxic and low impact dyes, this tee is a hit.",54,clay,women,https://cdn.shopify.com/s/files/1/0273/5010/6215/products/1-TSS_9252copyNewSlider_900x.jpg?v=1623815519,thestandardstitch,100%cotton,0,0,0,0,0,0,0,0,1
2,The Boxy Crew,"On repeat. Our boxy crew is so versatile, it can’t be played out. Made with perfectly good cutting waste, otherwise destined for a landfill, and blended with the softest organic cotton- you’ll never guess this tee was made from scraps. Complete with a worn-in wash, from non-toxic and low impact dyes, this tee is a hit.",54,golden,women,https://cdn.shopify.com/s/files/1/0273/5010/6215/products/1-TSS_7746copyNewSlider_900x.jpg?v=1623815519,thestandardstitch,100%cotton,0,0,0,0,0,0,0,0,1
3,The Boxy Crew,"On repeat. Our boxy crew is so versatile, it can’t be played out. Made with perfectly good cutting waste, otherwise destined for a landfill, and blended with the softest organic cotton- you’ll never guess this tee was made from scraps. Complete with a worn-in wash, from non-toxic and low impact dyes, this tee is a hit.",54,pale pink,women,https://cdn.shopify.com/s/files/1/0273/5010/6215/products/1-TSS_7835copyNewSlider_900x.jpg?v=1623815519,thestandardstitch,100%cotton,0,0,0,0,0,0,0,0,1
4,The Boxy Crew,"On repeat. Our boxy crew is so versatile, it can’t be played out. Made with perfectly good cutting waste, otherwise destined for a landfill, and blended with the softest organic cotton- you’ll never guess this tee was made from scraps. Complete with a worn-in wash, from non-toxic and low impact dyes, this tee is a hit.",54,sage,women,https://cdn.shopify.com/s/files/1/0273/5010/6215/products/1-TSS_8396copyNewSlider_900x.jpg?v=1623815519,thestandardstitch,100%cotton,0,0,0,0,0,0,0,0,1
5,The Boxy Crew,"On repeat. Our boxy crew is so versatile, it can’t be played out. Made with perfectly good cutting waste, otherwise destined for a landfill, and blended with the softest organic cotton- you’ll never guess this tee was made from scraps. Complete with a worn-in wash, from non-toxic and low impact dyes, this tee is a hit.",54,stone blue,women,https://cdn.shopify.com/s/files/1/0273/5010/6215/products/1-TSS_8156copyNewSlider_900x.jpg?v=1623815519,thestandardstitch,100%cotton,0,0,0,0,0,0,0,0,1
6,The Boxy Crew,"On repeat. Our boxy crew is so versatile, it can’t be played out. Made with perfectly good cutting waste, otherwise destined for a landfill, and blended with the softest organic cotton- you’ll never guess this tee was made from scraps. Complete with a worn-in wash, from non-toxic and low impact dyes, this tee is a hit.",54,vintage black,women,https://cdn.shopify.com/s/files/1/0273/5010/6215/products/1-TSS_7597copy-2NewSlider_900x.jpg?v=1623815519,thestandardstitch,100%cotton,0,0,0,0,0,0,0,0,1
7,The Relaxed V,"So chill. Our V neck earned its name for its laid-back shape. Its super soft fabric, made with eco-friendly dyes, gives a lived-in look that’s easy to dress up or down. Made of organic cotton and clean cutting waste, meant for a landfill, this recycled tee is as good for you as it is for the planet.",54,bone,women,https://cdn.shopify.com/s/files/1/0273/5010/6215/products/1-TSS_7623copy-2-2NewSlider_900x.jpg?v=1623815395,thestandardstitch,100%cotton,0,0,0,0,0,0,0,0,1
8,The Relaxed V,"So chill. Our V neck earned its name for its laid-back shape. Its super soft fabric, made with eco-friendly dyes, gives a lived-in look that’s easy to dress up or down. Made of organic cotton and clean cutting waste, meant for a landfill, this recycled tee is as good for you as it is for the planet.",54,clay,women,https://cdn.shopify.com/s/files/1/0273/5010/6215/products/1-TSS_8107copyNewSlider_900x.jpg?v=1623815395,thestandardstitch,100%cotton,0,0,0,0,0,0,0,0,1
9,The Relaxed V,"So chill. Our V neck earned its name for its laid-back shape. Its super soft fabric, made with eco-friendly dyes, gives a lived-in look that’s easy to dress up or down. Made of organic cotton and clean cutting waste, meant for a landfill, this recycled tee is as good for you as it is for the planet.",54,golden,women,https://cdn.shopify.com/s/files/1/0273/5010/6215/products/1-TSS_7725copy-2NewSlider_900x.jpg?v=1623815395,thestandardstitch,100%cotton,0,0,0,0,0,0,0,0,1
10,The Relaxed V,"So chill. Our V neck earned its name for its laid-back shape. Its super soft fabric, made with eco-friendly dyes, gives a lived-in look that’s easy to dress up or down. Made of organic cotton and clean cutting waste, meant for a landfill, this recycled tee is as good for you as it is for the planet.",54,pale pink,women,https://cdn.shopify.com/s/files/1/0273/5010/6215/products/1-TSS_8954copy-2-2NewSlider_900x.jpg?v=1623815395,thestandardstitch,100%cotton,0,0,0,0,0,0,0,0,1
11,The Relaxed V,"So chill. Our V neck earned its name for its laid-back shape. Its super soft fabric, made with eco-friendly dyes, gives a lived-in look that’s easy to dress up or down. Made of organic cotton and clean cutting waste, meant for a landfill, this recycled tee is as good for you as it is for the planet.",54,sage,women,https://cdn.shopify.com/s/files/1/0273/5010/6215/products/1-TSS_0073copyNewSlider_900x.jpg?v=1623815395,thestandardstitch,100%cotton,0,0,0,0,0,0,0,0,1
