,title,description,price,color,gender,imageUrl,brand,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
0,women HEATTECH cotton crew neck t-shirt (extra warm),"#Insulating, bio-warming, moisture-wicking, quick-drying, odor control and shape-retaining features. #Soft, stretchy fabric.#A warm layer with brushed 100&percnt cotton on the inner side. #Crisp fabric that retains the distinctive softness of HEATTECH. #Classic crew neck.#This HEATTECH cotton T-shirt is ideal for layering.",24.9,WHITE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439045/item/goods_00_439045.jpg?width=380,uniqlo,"53% Cotton, 42% Acrylic, 5% Spandex",0.0,0.0,0.05,0.42,0.0,0.0,0.0,0.0,0.53
1,women HEATTECH cotton crew neck t-shirt (extra warm),"#Insulating, bio-warming, moisture-wicking, quick-drying, odor control and shape-retaining features. #Soft, stretchy fabric.#A warm layer with brushed 100&percnt cotton on the inner side. #Crisp fabric that retains the distinctive softness of HEATTECH. #Classic crew neck.#This HEATTECH cotton T-shirt is ideal for layering.",24.9,BLACK,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439045/item/goods_09_439045.jpg?width=380,uniqlo,"53% Cotton, 42% Acrylic, 5% Spandex",0.0,0.0,0.05,0.42,0.0,0.0,0.0,0.0,0.53
2,women HEATTECH cotton crew neck t-shirt (extra warm),"#Insulating, bio-warming, moisture-wicking, quick-drying, odor control and shape-retaining features. #Soft, stretchy fabric.#A warm layer with brushed 100&percnt cotton on the inner side. #Crisp fabric that retains the distinctive softness of HEATTECH. #Classic crew neck.#This HEATTECH cotton T-shirt is ideal for layering.",24.9,BEIGE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439045/item/goods_31_439045.jpg?width=380,uniqlo,"53% Cotton, 42% Acrylic, 5% Spandex",0.0,0.0,0.05,0.42,0.0,0.0,0.0,0.0,0.53
3,women HEATTECH cotton crew neck t-shirt (extra warm),"#Insulating, bio-warming, moisture-wicking, quick-drying, odor control and shape-retaining features. #Soft, stretchy fabric.#A warm layer with brushed 100&percnt cotton on the inner side. #Crisp fabric that retains the distinctive softness of HEATTECH. #Classic crew neck.#This HEATTECH cotton T-shirt is ideal for layering.",24.9,GREEN,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439045/item/goods_52_439045.jpg?width=380,uniqlo,"53% Cotton, 42% Acrylic, 5% Spandex",0.0,0.0,0.05,0.42,0.0,0.0,0.0,0.0,0.53
4,women HEATTECH cotton crew neck t-shirt (extra warm),"#Insulating, bio-warming, moisture-wicking, quick-drying, odor control and shape-retaining features. #Soft, stretchy fabric.#A warm layer with brushed 100&percnt cotton on the inner side. #Crisp fabric that retains the distinctive softness of HEATTECH. #Classic crew neck.#This HEATTECH cotton T-shirt is ideal for layering.",24.9,BLUE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/439045/item/goods_68_439045.jpg?width=380,uniqlo,"53% Cotton, 42% Acrylic, 5% Spandex",0.0,0.0,0.05,0.42,0.0,0.0,0.0,0.0,0.53
5,women HEATTECH cotton turtleneck long-sleeve t-shirt (extra warm),"#Insulating, bio-warming, odor control, and moisture-wicking comfort features. #Stretch fabric with excellent shape retention. #A warm layer with brushed 100&percnt cotton on the inner side. #Crisp, non-clingy fabric that retains the distinctive softness of HEATTECH.",24.9,OFF WHITE,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/442446/item/goods_01_442446.jpg?width=380,uniqlo,"53% Cotton, 42% Acrylic, 5% Spandex",0.0,0.0,0.05,0.42,0.0,0.0,0.0,0.0,0.53
6,women HEATTECH cotton turtleneck long-sleeve t-shirt (extra warm),"#Insulating, bio-warming, odor control, and moisture-wicking comfort features. #Stretch fabric with excellent shape retention. #A warm layer with brushed 100&percnt cotton on the inner side. #Crisp, non-clingy fabric that retains the distinctive softness of HEATTECH.",24.9,BLACK,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/442446/item/goods_09_442446.jpg?width=380,uniqlo,"53% Cotton, 42% Acrylic, 5% Spandex",0.0,0.0,0.05,0.42,0.0,0.0,0.0,0.0,0.53
7,women HEATTECH cotton turtleneck long-sleeve t-shirt (extra warm),"#Insulating, bio-warming, odor control, and moisture-wicking comfort features. #Stretch fabric with excellent shape retention. #A warm layer with brushed 100&percnt cotton on the inner side. #Crisp, non-clingy fabric that retains the distinctive softness of HEATTECH.",24.9,PINK,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/442446/item/goods_12_442446.jpg?width=380,uniqlo,"53% Cotton, 42% Acrylic, 5% Spandex",0.0,0.0,0.05,0.42,0.0,0.0,0.0,0.0,0.53
8,women HEATTECH cotton turtleneck long-sleeve t-shirt (extra warm),"#Insulating, bio-warming, odor control, and moisture-wicking comfort features. #Stretch fabric with excellent shape retention. #A warm layer with brushed 100&percnt cotton on the inner side. #Crisp, non-clingy fabric that retains the distinctive softness of HEATTECH.",24.9,BROWN,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/442446/item/goods_36_442446.jpg?width=380,uniqlo,"53% Cotton, 42% Acrylic, 5% Spandex",0.0,0.0,0.05,0.42,0.0,0.0,0.0,0.0,0.53
9,women HEATTECH cotton turtleneck long-sleeve t-shirt (extra warm),"#Insulating, bio-warming, odor control, and moisture-wicking comfort features. #Stretch fabric with excellent shape retention. #A warm layer with brushed 100&percnt cotton on the inner side. #Crisp, non-clingy fabric that retains the distinctive softness of HEATTECH.",24.9,NAVY,women,https://image.uniqlo.com/UQ/ST3/WesternCommon/imagesgoods/442446/item/goods_69_442446.jpg?width=380,uniqlo,"53% Cotton, 42% Acrylic, 5% Spandex",0.0,0.0,0.05,0.42,0.0,0.0,0.0,0.0,0.53
