,title,description,price,color,gender,imageUrl,brand,composition,linen,nylon,cotton,lyocell,lambskin,elastane,wool,viscose,polyamide,silk,acrylic,polyester,modal
0,SMILEY ® HAPPY COLLECTION PRINTED SWEATSHIRT,Full cut short sleeve sweatshirt with round neck. Front and back print detail with Smiley ® Happy Collection logo. Washed effect. Rib trim.,49.9, Black ,men,https://static.zara.net/photos///2021/I/0/2/p/4087/314/800/22/w/563/4087314800_1_1_1.jpg?ts=1629124839549,Zara, '100% cotton',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,PRINTED TEXT T-SHIRT,Full cut T-shirt with round neck and short sleeves. Contrasting text print details at front and back.,35.9, Black ,men,https://static.zara.net/photos///2021/I/0/2/p/4087/354/800/2/w/563/4087354800_1_1_1.jpg?ts=1632134664341,Zara, '100% cotton',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,SHIRT WITH PATCHES,Full cut T-shirt with round neck and short sleeves. Front and back contrast patch appliqué. Asymmetric hem.,35.9, Black ,men,https://static.zara.net/photos///2021/I/0/2/p/5644/343/800/2/w/563/5644343800_1_1_1.jpg?ts=1629283462347,Zara, '100% cotton',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,“LOVE” PRINT T-SHIRT © PET SHOP BOYS PARTNERSHIP,Full cut T-shirt with round neck and short sleeves. Front and bag logo print “Love” © Pet Shop Boys Partnership.,35.9, Black ,men,https://static.zara.net/photos///2021/I/0/2/p/5431/300/800/2/w/563/5431300800_1_1_1.jpg?ts=1626688063612,Zara, '100% cotton',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,TIE-DYE PRINT SHIRT,Relaxed fit tank top with scoop neckline.,19.9, Pink White ,men,https://static.zara.net/photos///2021/I/0/2/p/0722/446/046/2/w/563/0722446046_1_1_1.jpg?ts=1622799313991,Zara, '100% cotton',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,PRINTED TEXT T-SHIRT,Full cut T-shirt with round neck and short sleeves. Contrasting printed text at front.,35.9, Mauve ,men,https://static.zara.net/photos///2021/I/0/2/p/6224/437/612/2/w/563/6224437612_1_1_1.jpg?ts=1622204469676,Zara, '100% cotton',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,PLEATED OVERSIZED TOP,Full cut T-shirt with round neck and short sleeves. Chest patch pocket.,35.9, Mink ,men,https://static.zara.net/photos///2021/I/0/2/p/8288/482/706/2/w/563/8288482706_1_1_1.jpg?ts=1625473348356,Zara, '100% polyester',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,TEXTURED POCKET T-SHIRT,Sleeveless full cut shirt with round neckline. Chest patch pocket. Irregular hems.,17.9, Oyster White ,men,https://static.zara.net/photos///2021/I/0/2/p/1887/412/251/24/w/563/1887412251_1_1_1.jpg?ts=1626274551415,Zara, '100% cotton',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,POCKET T-SHIRT,Full cut T-shirt with round neck and short sleeves. Chest patch pocket.,19.9, Faded black ,men,https://static.zara.net/photos///2021/V/0/2/p/1887/410/833/2/w/563/1887410833_1_1_1.jpg?ts=1616064452022,Zara, '100% cotton',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,THE BEACH BOYS © BRAVADO T-SHIRT,Round neck short sleeve T-shirt with contrast trim. Front text print and back graphic print of The Beach Boys © Bravado Merchandising.,35.9, Blue White ,men,https://static.zara.net/photos///2021/I/0/2/p/1277/401/044/2/w/563/1277401044_1_1_1.jpg?ts=1620978136491,Zara, '100% cotton',0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
