,title,description,price,color,gender,imageUrl,brand,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
0,LEA SIMULTANEOUSLY - ARSENIC,100% organic cotton; silky soft organic jersey (100% Made in Austria); Water-based printing inks (free of solvents and heavy metals); Made in EU; good to you & your skin; soft & durable,45.09,gray,women,https://www.zerum.at/pub/media/catalog/product/cache/image/870x1110/e9c3970ab036de70892d86c6d221abfe/a/r/arsenic-shirt-lea-gleichzeitigkeit-bio-baumwolle-fair-zerum-1.jpg,Zerum,100% organic cotton,0,0,0.0,0,0,0,0.0,0,1
1,LEA PAPER BOAT - NAVY,100% organic cotton; silky soft organic jersey (100% Made in Austria); Water-based printing inks (free of solvents and heavy metals); Made in EU; good to you & your skin; soft & durable,45.09,navy,women,https://www.zerum.at/pub/media/catalog/product/cache/image/870x1110/e9c3970ab036de70892d86c6d221abfe/n/a/navy-shirt-lea-paper-boat-bio-baumwolle-fair-zerum-2.jpg,Zerum,100% organic cotton,0,0,0.0,0,0,0,0.0,0,1
2,LEA WORLD TOUR - ARSENIC,100% organic cotton; silky soft organic jersey (100% Made in Austria); Water-based printing inks (free of solvents and heavy metals); Made in EU; good to you & your skin; soft & durable,45.09,gray,women,https://www.zerum.at/pub/media/catalog/product/cache/image/870x1110/e9c3970ab036de70892d86c6d221abfe/a/r/arsenic-shirt-lea-worldtour-bio-baumwolle-fair-zerum-2.jpg,Zerum,100% organic cotton,0,0,0.0,0,0,0,0.0,0,1
3,LEA TREE OF LIFE - FOREST,100% organic cotton; silky soft organic jersey (100% Made in Austria); Water-based printing inks (free of solvents and heavy metals); Made in EU; good to you & your skin; soft & durable,45.09,green,women,https://www.zerum.at/pub/media/catalog/product/cache/image/870x1110/e9c3970ab036de70892d86c6d221abfe/l/e/lebensbaum.jpg,Zerum,100% organic cotton,0,0,0.0,0,0,0,0.0,0,1
4,LEA BT GIRAFFE,100% organic cotton; silky soft organic jersey (100% Made in Austria); Water-based printing inks (free of solvents and heavy metals); Made in EU; good to you & your skin; soft & durable,45.09,white,women,https://www.zerum.at/pub/media/catalog/product/cache/image/870x1110/e9c3970ab036de70892d86c6d221abfe/w/h/white-t-shirt-lea-giraffe-bt-bio-baumwolle-fair-zerum-3.jpg,Zerum,100% organic cotton,0,0,0.0,0,0,0,0.0,0,1
5,LEA GULLS WHALE - WHITE,100% organic cotton; silky soft organic jersey (100% Made in Austria); Water-based printing inks (free of solvents and heavy metals); Made in EU; good to you & your skin; soft & durable,45.09,white,women,https://www.zerum.at/pub/media/catalog/product/cache/image/870x1110/e9c3970ab036de70892d86c6d221abfe/d/a/damen-t-shirt-lea-m_wen_wal-back-white-zerum-1.jpg,Zerum,100% organic cotton,0,0,0.0,0,0,0,0.0,0,1
6,LEA HEART FLOWERS - WHITE,100% organic cotton; silky soft organic jersey (100% Made in Austria); Water-based printing inks (free of solvents and heavy metals); Made in EU; good to you & your skin; soft & durable,45.09,white,women,https://www.zerum.at/pub/media/catalog/product/cache/image/870x1110/e9c3970ab036de70892d86c6d221abfe/w/h/white-t-shirt-lea-herz-blumen-bio-baumwolle-fair-zerum-1.jpg,Zerum,100% organic cotton,0,0,0.0,0,0,0,0.0,0,1
7,LEA - SUN MOON,100% organic cotton; silky soft organic jersey (100% Made in Austria); Water-based printing inks (free of solvents and heavy metals); Made in EU; good to you & your skin; soft & durable,45.09,white,women,https://www.zerum.at/pub/media/catalog/product/cache/image/870x1110/e9c3970ab036de70892d86c6d221abfe/d/a/damen-t-shirt-lea-sonne-mond-white-zerum1-min.jpg,Zerum,100% organic cotton,0,0,0.0,0,0,0,0.0,0,1
8,LEA - PANDA,100% organic cotton; silky soft organic jersey (100% Made in Austria); Water-based printing inks (free of solvents and heavy metals); Made in EU; good to you & your skin; soft & durable,45.09,white,women,https://www.zerum.at/pub/media/catalog/product/cache/image/870x1110/e9c3970ab036de70892d86c6d221abfe/d/a/damenshirt-panda-white-biobaumwolle-zerum1-min.jpg,Zerum,100% organic cotton,0,0,0.0,0,0,0,0.0,0,1
9,LEA - BALANCE,100% organic cotton; silky soft organic jersey (100% Made in Austria); Water-based printing inks (free of solvents and heavy metals); Made in EU; good to you & your skin; soft & durable,45.09,white,women,https://www.zerum.at/pub/media/catalog/product/cache/image/870x1110/e9c3970ab036de70892d86c6d221abfe/d/a/damen-t-shirt-balance-white-zerum-2-min.jpg,Zerum,100% organic cotton,0,0,0.0,0,0,0,0.0,0,1
