,name,supplier,rating,reviews,price,description,sleeve_length,fit,neckline,composition,color,imported,sustainability,article_number,length,gender
0,Relaxed Fit Cotton T-shirt,[],,[reviewsLabel],,Relaxed-fit T-shirt in soft cotton jersey. Ribbed crew neck and dropped shoulders.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Black/white,Yes,environmentalMarker,1010193002,,men
1,Relaxed Fit Cotton T-shirt,[],,[reviewsLabel],,Relaxed-fit T-shirt in soft cotton jersey. Ribbed crew neck and dropped shoulders.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Beige/pink/green/white,Yes,environmentalMarker,1010193001,,men
2,5-pack Slim Fit T-shirts,[],,[reviewsLabel],,Crew-neck T-shirts in soft cotton jersey.,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",White/black,Yes,,0624684003,Regular length,men
3,Regular Fit Crew-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,Cotton 100%,White,Yes,,0685816001,Regular length,men
4,Regular Fit Crew-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Black,Yes,,0685816002,Regular length,men
5,5-pack Slim Fit T-shirts,[],,[reviewsLabel],,Crew-neck T-shirts in soft cotton jersey.,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",White,Yes,,0624684001,Regular length,men
6,Regular Fit Crew-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Dark beige,Yes,,0685816099,Regular length,men
7,Long Fit T-shirt,[],,[reviewsLabel],,"Long, crew-neck T-shirt in soft jersey with a rounded hem.",Short sleeve,,Round Neck,Cotton 100%,Black,Yes,,0598755001,Long,men
8,Long Fit T-shirt,[],,[reviewsLabel],,"Long, crew-neck T-shirt in soft jersey with a rounded hem.",Short sleeve,,Round Neck,Cotton 100%,White,Yes,,0598755002,Long,men
9,3-pack Slim Fit T-shirts,[],,[reviewsLabel],,Crew-neck T-shirts in soft jersey.,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",Black,Yes,,0578630003,Regular length,men
10,Long Fit T-shirt,[],,[reviewsLabel],,"Long, crew-neck T-shirt in soft jersey with a rounded hem.",Short sleeve,,Round Neck,Cotton 100%,Taupe,Yes,,0598755066,Long,men
11,Regular Fit Crew-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Dark gray,Yes,,0685816023,Regular length,men
12,Relaxed Fit T-shirt,[],,[reviewsLabel],,"Relaxed-fit, crew-neck T-shirt in soft cotton jersey with a printed design.",Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Green/black,Yes,,0967955006,,men
13,5-pack Slim Fit T-shirts,[],,[reviewsLabel],,V-neck T-shirts in cotton jersey. Slim Fit.,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",Black/white/dark gray/light beige/khaki green,Yes,,0945059005,,men
14,Relaxed Fit T-shirt,[],,[reviewsLabel],,"Relaxed-fit, crew-neck T-shirt in soft cotton jersey with a printed design.",Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Black/white,Yes,,0967955026,,men
15,Raw-edge T-shirt,[],,[reviewsLabel],,"T-shirt in soft cotton slub jersey. Slightly wider neckline, seam at center back, and slightly longer, rounded back section. Raw, rolled edges at neckline and cuffs.",Short sleeve,,Round Neck,Cotton 100%,White,Yes,,0793104001,,men
16,Raw-edge T-shirt,[],,[reviewsLabel],,"T-shirt in soft cotton slub jersey. Slightly wider neckline, seam at center back, and slightly longer, rounded back section. Raw, rolled edges at neckline and cuffs.",Short sleeve,,Round Neck,Cotton 100%,Black,Yes,,0793104002,,men
17,5-pack Slim Fit T-shirts,[],,[reviewsLabel],,V-neck T-shirts in cotton jersey. Slim Fit.,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",Black/white,Yes,,0945059001,,men
18,3-pack Slim Fit T-shirts,[],,[reviewsLabel],,V-neck T-shirts in soft jersey.,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",Black,Yes,,0542533002,Regular length,men
19,3-pack Slim Fit T-shirts,[],,[reviewsLabel],,V-neck T-shirts in soft jersey.,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",Gray/dark gray/black,Yes,,0542533038,Regular length,men
20,Regular Fit T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed design. Ribbed crew neck.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Black/white/red/blue,Yes,,0846973126,,men
21,Long Fit T-shirt,[],,[reviewsLabel],,"Long, crew-neck T-shirt in soft jersey with a rounded hem.",Short sleeve,,Round Neck,Cotton 100%,Dark gray,Yes,,0598755063,Long,men
22,3-pack Slim Fit T-shirts,[],,[reviewsLabel],,Crew-neck T-shirts in soft jersey.,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",Burgundy/navy blue/gray melange,Yes,,0578630041,Regular length,men
23,5-pack Slim Fit T-shirts,[],,[reviewsLabel],,V-neck T-shirts in cotton jersey. Slim Fit.,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",Light green/light gray/dark blue/light blue/white,Yes,,0945059004,,men
24,Premium Cotton T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in premium cotton jersey.,Short sleeve,Slim fit,Round Neck,Cotton 100%,Light beige melange,Yes,Premium Selection,0702932009,Regular length,men
25,Relaxed Fit T-shirt,[],,[reviewsLabel],,"Relaxed-fit, crew-neck T-shirt in soft cotton jersey with a printed design.",Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Beige/white/orange,Yes,,0967955004,,men
26,Long Fit T-shirt,[],,[reviewsLabel],,"Long, crew-neck T-shirt in soft jersey with a rounded hem.",Short sleeve,,Round Neck,Cotton 100%,Burgundy,Yes,,0598755069,Long,men
27,3-pack Regular Fit T-shirts,[],,[reviewsLabel],,Crew-neck T-shirts in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,Cotton 100%,White/black/gray melange,Yes,,0945531002,,men
28,Slim Fit Round-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft jersey.,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",Black,Yes,,0570002001,Regular length,men
29,Premium Cotton T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in premium cotton jersey.,Short sleeve,Slim fit,Round Neck,Cotton 100%,White,Yes,Premium Selection,0702932002,Regular length,men
30,Relaxed Fit T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in thick cotton jersey.,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Black,Yes,,0608945008,Regular length,men
31,Regular Fit Crew-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,"Cotton 95%, Viscose 5%",Gray melange,Yes,,0685816053,Regular length,men
32,3-pack Slim Fit T-shirts,[],,[reviewsLabel],,V-neck T-shirts in soft jersey.,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",Khaki green/dark blue/white,Yes,,0542533042,Regular length,men
33,Raw-edge T-shirt,[],,[reviewsLabel],,"T-shirt in soft cotton slub jersey. Slightly wider neckline, seam at center back, and slightly longer, rounded back section. Raw, rolled edges at neckline and cuffs.",Short sleeve,,Round Neck,Cotton 100%,Light beige,Yes,,0793104007,,men
34,Regular Fit Crew-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Gray,Yes,,0685816049,Regular length,men
35,Regular Fit Crew-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Light khaki green,Yes,,0685816048,Regular length,men
36,Cotton T-shirt,[],,[reviewsLabel],,"Blank staples is a streetwear collection of minimalistic pieces – the perfect canvas for your personal style and creativity. This contemporary T-shirt is made from heavy, 7 oz/yd2 organic cotton jersey for a premium handfeel. Straight-cut, oversized, and relaxed fit with a ribbed crew neck and dropped shoulders.",Short sleeve,Oversized,Round Neck,Cotton 100%,Black,Yes,environmentalMarker,1003570001,,men
37,Cotton T-shirt,[],,[reviewsLabel],,"Blank staples is a streetwear collection of minimalistic pieces – the perfect canvas for your personal style and creativity. This contemporary T-shirt is made from heavy, 7 oz/yd2 organic cotton jersey for a premium handfeel. Straight-cut, oversized, and relaxed fit with a ribbed crew neck and dropped shoulders.",Short sleeve,Oversized,Round Neck,Cotton 100%,Cream,Yes,environmentalMarker,1003570002,,men
38,Cotton T-shirt,[],,[reviewsLabel],,"Blank staples is a streetwear collection of minimalistic pieces – the perfect canvas for your personal style and creativity. This contemporary T-shirt is made from heavy, 7 oz/yd2 organic cotton jersey for a premium handfeel. Straight-cut, oversized, and relaxed fit with a ribbed crew neck and dropped shoulders.",Short sleeve,Oversized,Round Neck,"Cotton 98%, Viscose 2%",Light gray melange,Yes,,1003570008,,men
39,Cotton Polo Shirt,[],,[reviewsLabel],,"Polo shirt in cotton piqué. Ribbed collar, button placket, and short sleeves with ribbed cuffs. Slits at sides.",Short sleeve,,,Cotton 100%,Black,Yes,,0816759001,,men
40,Regular Fit T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed design. Ribbed crew neck.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Black/pink/light blue/green,Yes,,0846973103,,men
41,Regular Fit Crew-neck T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in soft cotton jersey.,Short sleeve,Regular fit,Round Neck,Cotton 100%,Dark blue,Yes,,0685816078,Regular length,men
42,Premium Cotton T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in premium cotton jersey.,Short sleeve,Slim fit,Round Neck,Cotton 100%,Black,Yes,Premium Selection,0702932001,Regular length,men
43,Premium Cotton T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in premium cotton jersey.,Short sleeve,Slim fit,Round Neck,Cotton 100%,Dark burgundy,Yes,Premium Selection,0702932030,Regular length,men
44,3-pack Slim Fit T-shirts,[],,[reviewsLabel],,Crew-neck T-shirts in soft jersey.,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",White,Yes,,0578630002,Regular length,men
45,Printed T-shirt,[],,[reviewsLabel],,T-shirt in soft cotton jersey with a printed graphic design and crew neck.,Short sleeve,,,Cotton 100%,White/black/light purple/light green,Yes,,0684021140,Regular length,men
46,Premium Cotton T-shirt,[],,[reviewsLabel],,Crew-neck T-shirt in premium cotton jersey.,Short sleeve,Slim fit,Round Neck,Cotton 100%,Dark khaki green,Yes,Premium Selection,0702932036,Regular length,men
47,Jersey Polo Shirt,[],,[reviewsLabel],,"Short-sleeved polo shirt in soft cotton jersey. Collar, opening at top without buttons, and slits at sides of hem.",Short sleeve,,,Cotton 100%,Rust red,Yes,environmentalMarker,0963674008,,men
