title,description,price,color,gender,imageUrl,brand,composition,elastane,polystyrene,linen,silk,wool,cotton,viscose,modal,polyamide,polyester
5-pack Slim Fit T-shirts,Crew-neck T-shirts in soft cotton jersey.,34.99,Burgundy navy blue gray-blue khaki green black,men,"//lp2.hm.com/hmgoepprod?set=source[/f6/1f/f61f167fef5ca09daf0f2d30c13b4df77158f14e.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,"Cotton 95%, Elastane 5%",0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
Regular Fit Crew-neck T-shirt,Crew-neck T-shirt in soft cotton jersey.,6.99,Black,men,"//lp2.hm.com/hmgoepprod?set=source[/20/e6/20e67286dba86e9bdbd7407041f1aeb674e29f2b.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Long Fit T-shirt,"Long, crew-neck T-shirt in soft jersey with a rounded hem.",9.99,Black,men,"//lp2.hm.com/hmgoepprod?set=source[/83/e1/83e1bf22cd2015bc509296ef1e2d5a4d29b70b7a.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[4]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Long Fit T-shirt,"Long, crew-neck T-shirt in soft jersey with a rounded hem.",9.99,White,men,"//lp2.hm.com/hmgoepprod?set=source[/71/f4/71f4f60422b3284c9727d91905ace2624e7bc15d.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5-pack Slim Fit T-shirts,Crew-neck T-shirts in soft cotton jersey.,34.99,White black,men,"//lp2.hm.com/hmgoepprod?set=source[/5c/dc/5cdcc81a8060c86fb11577f972c3d36de1bb0f56.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",H&M,"Cotton 95%, Elastane 5%",0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
Relaxed Fit T-shirt,"Relaxed-fit, crew-neck T-shirt in soft cotton jersey with a printed design.",12.99,Black white,men,"//lp2.hm.com/hmgoepprod?set=source[/aa/c4/aac4f79d24c74fe35ba49f9b96b4872158d99b2f.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3-pack Regular Fit T-shirts,Crew-neck T-shirts in soft cotton jersey.,17.99,White black gray melange,men,"//lp2.hm.com/hmgoepprod?set=source[/4b/85/4b85ded3c21f49c5c249c6c0e6b6b2e07d991ba2.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Regular Fit Crew-neck T-shirt,Crew-neck T-shirt in soft cotton jersey.,6.99,White,men,"//lp2.hm.com/hmgoepprod?set=source[/22/8a/228a6bcb3c2ec2d28d75799ef0163949e889cdb3.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5-pack Slim Fit T-shirts,V-neck T-shirts in cotton jersey. Slim Fit.,34.99,Light green light gray dark blue light blue white,men,"//lp2.hm.com/hmgoepprod?set=source[/1c/50/1c502dfb7532b4fe5b7f77b469a6dcd4fe558aa4.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,"Cotton 95%, Elastane 5%",0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
Premium Cotton T-shirt,Crew-neck T-shirt in premium cotton jersey.,17.99,White,men,"//lp2.hm.com/hmgoepprod?set=source[/7f/a0/7fa05cd6a253cbb34ddfeb9f50ab8996b52147f0.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Regular Fit Crew-neck T-shirt,Crew-neck T-shirt in soft cotton jersey.,6.99,Dark gray,men,"//lp2.hm.com/hmgoepprod?set=source[/80/c2/80c28d106435da5867a93581206acbb9573678d0.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Long Fit T-shirt,"Long, crew-neck T-shirt in soft jersey with a rounded hem.",9.99,Taupe,men,"//lp2.hm.com/hmgoepprod?set=source[/63/23/6323ee6f7b067a44abf0ff052830412242541c2c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Relaxed Fit T-shirt,"Relaxed-fit, crew-neck T-shirt in soft cotton jersey with a printed design.",12.99,Green black,men,"//lp2.hm.com/hmgoepprod?set=source[/28/43/2843e5821aa771c7fa8320cec2664001f9662aa0.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,Cotton 100%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5-pack Slim Fit T-shirts,Crew-neck T-shirts in soft cotton jersey.,34.99,White,men,"//lp2.hm.com/hmgoepprod?set=source[/06/73/0673d171368cb242c9d35348d6b1c53e21b5b1a1.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,"Cotton 95%, Elastane 5%",0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
3-pack Slim Fit T-shirts,Crew-neck T-shirts in soft jersey.,24.99,Black,men,"//lp2.hm.com/hmgoepprod?set=source[/4d/04/4d044054898e31c3ed288d892f66a68b5e908372.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",H&M,"Cotton 95%, Elastane 5%",0.05,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0
