SN,title,color,imageUrl,price_usd,material,gender,brand,care,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
1,STFP T-SHIRT (WHITE),white,https://cdn.shopify.com/s/files/1/2380/6877/products/stfpfront.jpg?v=1639028187,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
2,WPP2P T-SHIRT,white,https://cdn.shopify.com/s/files/1/2380/6877/products/powertothepeacefulback_b8f1cb89-87fd-4c6b-ae3a-4adc8b4625f2.jpg?v=1637413060,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
3,MFFA T-SHIRT (WHITE),white,https://cdn.shopify.com/s/files/1/2380/6877/products/mffafront.jpg?v=1637357697,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
4,LOVE EVERYBODY S/S T-SHIRT (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/000181700003.jpg?v=1642008767,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
5,LOVE MORE S/S T-SHIRT (JUNIPER),juniper,https://cdn.shopify.com/s/files/1/2380/6877/products/000415860009.jpg?v=1642008988,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
6,HAPPY LOVE PIECED S/S T-SHIRT (JUNIPER/CHALK),juniper/chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/000415990004.jpg?v=1642040353,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
7,GIAPC S/S T-SHIRT (LION),lion,https://cdn.shopify.com/s/files/1/2380/6877/products/000810670005.jpg?v=1642523424,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
8,LOVE EVERYBODY S/S T-SHIRT (CHALK),chalk,https://cdn.shopify.com/s/files/1/2380/6877/products/000810600005.jpg?v=1642040399,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
9,TIE DYE GROWTH IS A PROCESS S/S T-SHIRT,multi_color,https://cdn.shopify.com/s/files/1/2380/6877/products/000217510004.jpg?v=1638897536,41.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
10,APTTP S/S T-SHIRT (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/000415980010.jpg?v=1641955055,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
11,WDOYS T-SHIRT (WHITE),white,https://cdn.shopify.com/s/files/1/2380/6877/products/WomenDontOweYouShitWhite_1.jpg?v=1629410412,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
12,WOMEN DON'T OWE YOU SHIT (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/40.jpg?v=1629410459,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
13,WDOYS T-SHIRT (WHITE),white,https://cdn.shopify.com/s/files/1/2380/6877/products/000171550006.jpg?v=1642605534,37.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
14,OKAY T-SHIRT (WHITE),white,https://cdn.shopify.com/s/files/1/2380/6877/products/000171550008.jpg?v=1640121523,37.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
15,PTTP T-SHIRT (WHITE),white,https://cdn.shopify.com/s/files/1/2380/6877/products/000171540009.jpg?v=1640121579,37.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
16,IT'S OKAY TO CRY T-SHIRT (WHITE),white,https://cdn.shopify.com/s/files/1/2380/6877/products/000171560009.jpg?v=1640121506,37.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
17,FUCK PHOBIAS TEE (BLACK),black,https://cdn.shopify.com/s/files/1/2380/6877/products/fuckphobias.jpg?v=1623340309,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
18,ZERO TOLERANCE S/S T-SHIRT,black,https://cdn.shopify.com/s/files/1/2380/6877/products/zerotoleranceback_890425c7-5391-429c-bbaa-f55fe9c140d5.jpg?v=1605049636,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
19,KIDS NOT GUNS,white,https://cdn.shopify.com/s/files/1/2380/6877/products/44.jpg?v=1616522472,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
20,RESPECT EXISTENCE,black,https://cdn.shopify.com/s/files/1/2380/6877/products/39.jpg?v=1616522271,35.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
21,MEN OF QUALITY TEE,white,https://cdn.shopify.com/s/files/1/2380/6877/products/MOQ-SS-Front.jpg?v=1572554890,33.00,100% GOTS Certified Organic Cotton,NA,Chnge,cold water wash and tumble dry low,0,0,0,0,0,0,0,0,1
