,title,link,supplier,rating,reviews,price,imageUrl,description,length,sleeve_length,fit,neckline,composition,color,imported,article_number,sustainability,gender
0,5-pack Slim Fit T-shirts,https://www2.hm.com/en_us/productpage.0624684013.html,[],,[reviewsLabel],$34.99,"//lp2.hm.com/hmgoepprod?set=source[/f6/1f/f61f167fef5ca09daf0f2d30c13b4df77158f14e.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirts in soft cotton jersey.,Regular length,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",Burgundy/navy blue/gray-blue/khaki green/black,Yes,0624684013,,men
1,Regular Fit Crew-neck T-shirt,https://www2.hm.com/en_us/productpage.0685816002.html,[],,[reviewsLabel],$6.99,"//lp2.hm.com/hmgoepprod?set=source[/20/e6/20e67286dba86e9bdbd7407041f1aeb674e29f2b.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirt in soft cotton jersey.,Regular length,Short sleeve,Regular fit,Round Neck,Cotton 100%,Black,Yes,0685816002,,men
2,Long Fit T-shirt,https://www2.hm.com/en_us/productpage.0598755001.html,[],,[reviewsLabel],$9.99,"//lp2.hm.com/hmgoepprod?set=source[/83/e1/83e1bf22cd2015bc509296ef1e2d5a4d29b70b7a.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[4]&call=url[file:/product/style]","Long, crew-neck T-shirt in soft jersey with a rounded hem.",Long,Short sleeve,,Round Neck,Cotton 100%,Black,Yes,0598755001,,men
3,Long Fit T-shirt,https://www2.hm.com/en_us/productpage.0598755002.html,[],,[reviewsLabel],$9.99,"//lp2.hm.com/hmgoepprod?set=source[/71/f4/71f4f60422b3284c9727d91905ace2624e7bc15d.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]","Long, crew-neck T-shirt in soft jersey with a rounded hem.",Long,Short sleeve,,Round Neck,Cotton 100%,White,Yes,0598755002,,men
4,5-pack Slim Fit T-shirts,https://www2.hm.com/en_us/productpage.0624684003.html,[],,[reviewsLabel],$34.99,"//lp2.hm.com/hmgoepprod?set=source[/5c/dc/5cdcc81a8060c86fb11577f972c3d36de1bb0f56.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",Crew-neck T-shirts in soft cotton jersey.,Regular length,Short sleeve,Slim fit,Round Neck,"Cotton 95%, Elastane 5%",White/black,Yes,0624684003,,men
5,Relaxed Fit T-shirt,https://www2.hm.com/en_us/productpage.0967955026.html,[],,[reviewsLabel],$12.99,"//lp2.hm.com/hmgoepprod?set=source[/aa/c4/aac4f79d24c74fe35ba49f9b96b4872158d99b2f.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]","Relaxed-fit, crew-neck T-shirt in soft cotton jersey with a printed design.",,Short sleeve,Relaxed fit,Round Neck,Cotton 100%,Black/white,Yes,0967955026,,men
6,3-pack Regular Fit T-shirts,https://www2.hm.com/en_us/productpage.0945531002.html,[],,[reviewsLabel],$17.99,"//lp2.hm.com/hmgoepprod?set=source[/4b/85/4b85ded3c21f49c5c249c6c0e6b6b2e07d991ba2.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirts in soft cotton jersey.,,Short sleeve,Regular fit,Round Neck,Cotton 100%,White/black/gray melange,Yes,0945531002,,men
7,Regular Fit Crew-neck T-shirt,https://www2.hm.com/en_us/productpage.0685816001.html,[],,[reviewsLabel],$6.99,"//lp2.hm.com/hmgoepprod?set=source[/22/8a/228a6bcb3c2ec2d28d75799ef0163949e889cdb3.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",Crew-neck T-shirt in soft cotton jersey.,Regular length,Short sleeve,Regular fit,Round Neck,Cotton 100%,White,Yes,0685816001,,men
8,5-pack Slim Fit T-shirts,https://www2.hm.com/en_us/productpage.0945059004.html,[],,[reviewsLabel],$34.99,"//lp2.hm.com/hmgoepprod?set=source[/1c/50/1c502dfb7532b4fe5b7f77b469a6dcd4fe558aa4.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",V-neck T-shirts in cotton jersey. Slim Fit.,,Short sleeve,Slim fit,V-neck,"Cotton 95%, Elastane 5%",Light green/light gray/dark blue/light blue/white,Yes,0945059004,,men
9,Premium Cotton T-shirt,https://www2.hm.com/en_us/productpage.0702932002.html,[],,[reviewsLabel],$17.99,"//lp2.hm.com/hmgoepprod?set=source[/7f/a0/7fa05cd6a253cbb34ddfeb9f50ab8996b52147f0.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",Crew-neck T-shirt in premium cotton jersey.,Regular length,Short sleeve,Slim fit,Round Neck,Cotton 100%,White,Yes,0702932002,Premium Selection,men
