,name,image_url,color,size,url,price,descr,fit_features,materials,wash_dir,ethical_url,gender,material1,material2,material3
0,Lorax Unless T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-23151.jpg?v=1634833590,TWILIGHT BLUE,S,https://www.tentree.com/collections/mens-t-shirts-tanks/products/mens-lorax-unless-t-shirt?variant=40637431251130,40.0,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.","Regular fit crew neck t-shirt, medium stretch","45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton","Wash cold, tumble dry low","<a href=""/pages/ethical-manufacturing"" target=""_blank"">Designed in Canada, ethically made in China</a>",mens,45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton
1,Lorax Unless T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-23151.jpg?v=1634833590,TWILIGHT BLUE,M,https://www.tentree.com/collections/mens-t-shirts-tanks/products/mens-lorax-unless-t-shirt?variant=40637431283898,40.0,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.","Regular fit crew neck t-shirt, medium stretch","45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton","Wash cold, tumble dry low","<a href=""/pages/ethical-manufacturing"" target=""_blank"">Designed in Canada, ethically made in China</a>",mens,45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton
2,Lorax Unless T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-23151.jpg?v=1634833590,TWILIGHT BLUE,L,https://www.tentree.com/collections/mens-t-shirts-tanks/products/mens-lorax-unless-t-shirt?variant=40637431316666,40.0,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.","Regular fit crew neck t-shirt, medium stretch","45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton","Wash cold, tumble dry low","<a href=""/pages/ethical-manufacturing"" target=""_blank"">Designed in Canada, ethically made in China</a>",mens,45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton
3,Lorax Unless T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-23151.jpg?v=1634833590,TWILIGHT BLUE,XL,https://www.tentree.com/collections/mens-t-shirts-tanks/products/mens-lorax-unless-t-shirt?variant=40637431349434,40.0,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.","Regular fit crew neck t-shirt, medium stretch","45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton","Wash cold, tumble dry low","<a href=""/pages/ethical-manufacturing"" target=""_blank"">Designed in Canada, ethically made in China</a>",mens,45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton
4,Lorax Unless T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-01641.jpg?v=1634833590,METEORITE BLACK,S,https://www.tentree.com/collections/mens-t-shirts-tanks/products/mens-lorax-unless-t-shirt?variant=40637431447738,40.0,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.","Regular fit crew neck t-shirt, medium stretch","45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton","Wash cold, tumble dry low","<a href=""/pages/ethical-manufacturing"" target=""_blank"">Designed in Canada, ethically made in China</a>",mens,45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton
5,Lorax Unless T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-01641.jpg?v=1634833590,METEORITE BLACK,M,https://www.tentree.com/collections/mens-t-shirts-tanks/products/mens-lorax-unless-t-shirt?variant=40637431480506,40.0,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.","Regular fit crew neck t-shirt, medium stretch","45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton","Wash cold, tumble dry low","<a href=""/pages/ethical-manufacturing"" target=""_blank"">Designed in Canada, ethically made in China</a>",mens,45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton
6,Lorax Unless T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-01641.jpg?v=1634833590,METEORITE BLACK,L,https://www.tentree.com/collections/mens-t-shirts-tanks/products/mens-lorax-unless-t-shirt?variant=40637431513274,40.0,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.","Regular fit crew neck t-shirt, medium stretch","45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton","Wash cold, tumble dry low","<a href=""/pages/ethical-manufacturing"" target=""_blank"">Designed in Canada, ethically made in China</a>",mens,45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton
7,Lorax Unless T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-01641.jpg?v=1634833590,METEORITE BLACK,XL,https://www.tentree.com/collections/mens-t-shirts-tanks/products/mens-lorax-unless-t-shirt?variant=40637431546042,40.0,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.","Regular fit crew neck t-shirt, medium stretch","45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton","Wash cold, tumble dry low","<a href=""/pages/ethical-manufacturing"" target=""_blank"">Designed in Canada, ethically made in China</a>",mens,45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton
8,Lorax Unless T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-01641.jpg?v=1634833590,METEORITE BLACK,XXL,https://www.tentree.com/collections/mens-t-shirts-tanks/products/mens-lorax-unless-t-shirt?variant=40637431578810,40.0,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.","Regular fit crew neck t-shirt, medium stretch","45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton","Wash cold, tumble dry low","<a href=""/pages/ethical-manufacturing"" target=""_blank"">Designed in Canada, ethically made in China</a>",mens,45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton
9,Lorax Unless T-Shirt,//cdn.shopify.com/s/files/1/2341/3995/products/TCM4833-23121.jpg?v=1634833590,DEEP JUNGLE,S,https://www.tentree.com/collections/mens-t-shirts-tanks/products/mens-lorax-unless-t-shirt?variant=40637431611578,40.0,"""Unless"" reminds us that we need to change for the good of the planet, the trees and all who call the earth home. Let's join the Lorax and speak for the trees.","Regular fit crew neck t-shirt, medium stretch","45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton","Wash cold, tumble dry low","<a href=""/pages/ethical-manufacturing"" target=""_blank"">Designed in Canada, ethically made in China</a>",mens,45% REPREVE® Recycled Polyester, 30% TENCEL™ Lyocell, 25% Organic Cotton
