,title,description,price,color,gender,imageUrl,brand,composition,polyester,lyocell,cotton,hemp
0,Vintage Sunset T-Shirt,"Classic short sleeve t-shirt, retro inspired graphic",35.0,GARGOYLE GREY HEATHER,men,1/2341/3995/products/TCM2096-2048--2.jg.jpg?v=1628716985,tentree,"45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton",0.45,0.3,0.25,0.0
1,Vintage Sunset T-Shirt,"Classic short sleeve t-shirt, retro inspired graphic",35.0,GARGOYLE GREY HEATHER,men,1/2341/3995/products/TCM2096-2048--2.jg.jpg?v=1628716985,tentree,"45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton",0.45,0.3,0.25,0.0
2,Vintage Sunset T-Shirt,"Classic short sleeve t-shirt, retro inspired graphic",35.0,ELM WHITE HEATHER,men,1/2341/3995/products/TCM2096-2048--2.jg.jpg?v=1628716985,tentree,"45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton",0.45,0.3,0.25,0.0
3,Vintage Sunset T-Shirt,"Classic short sleeve t-shirt, retro inspired graphic",35.0,ELM WHITE HEATHER,men,1/2341/3995/products/TCM2096-2048--2.jg.jpg?v=1628716985,tentree,"45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton",0.45,0.3,0.25,0.0
4,Vintage Sunset T-Shirt,"Classic short sleeve t-shirt, retro inspired graphic",35.0,ELM WHITE HEATHER,men,1/2341/3995/products/TCM2096-2048--2.jg.jpg?v=1628716985,tentree,"45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton",0.45,0.3,0.25,0.0
5,Vintage Sunset T-Shirt,"Classic short sleeve t-shirt, retro inspired graphic",35.0,ELM WHITE HEATHER,men,1/2341/3995/products/TCM2096-2048--2.jg.jpg?v=1628716985,tentree,"45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton",0.45,0.3,0.25,0.0
6,Vintage Sunset T-Shirt,"Classic short sleeve t-shirt, retro inspired graphic",35.0,ELM WHITE HEATHER,men,1/2341/3995/products/TCM2096-2048--2.jg.jpg?v=1628716985,tentree,"45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton",0.45,0.3,0.25,0.0
7,Vintage Sunset T-Shirt,"Classic short sleeve t-shirt, retro inspired graphic",35.0,METEORITE BLACK HEATHER,men,1/2341/3995/products/TCM2096-2048--2.jg.jpg?v=1628716985,tentree,"45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton",0.45,0.3,0.25,0.0
8,Vintage Sunset T-Shirt,"Classic short sleeve t-shirt, retro inspired graphic",35.0,METEORITE BLACK HEATHER,men,1/2341/3995/products/TCM2096-2048--2.jg.jpg?v=1628716985,tentree,"45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton",0.45,0.3,0.25,0.0
9,Vintage Sunset T-Shirt,"Classic short sleeve t-shirt, retro inspired graphic",35.0,METEORITE BLACK HEATHER,men,1/2341/3995/products/TCM2096-2048--2.jg.jpg?v=1628716985,tentree,"45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton",0.45,0.3,0.25,0.0
10,Vintage Sunset T-Shirt,"Classic short sleeve t-shirt, retro inspired graphic",35.0,METEORITE BLACK HEATHER,men,1/2341/3995/products/TCM2096-2048--2.jg.jpg?v=1628716985,tentree,"45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton",0.45,0.3,0.25,0.0
11,Vintage Sunset T-Shirt,"Classic short sleeve t-shirt, retro inspired graphic",35.0,DRESS BLUE HEATHER,men,1/2341/3995/products/TCM2096-2048--2.jg.jpg?v=1628716985,tentree,"45% Recycled Polyester, 30% TENCEL Lyocell, 25% Organic Cotton",0.45,0.3,0.25,0.0
