title,gender,price,composition,color,imageUrl,description,polyester,silk,modal,viscose,wool,polyamide,nylon,cotton,linen,acrylic,lambskin,lyocell,elastane,brand
SMILEY ® HAPPY COLLECTION PRINTED SWEATSHIRT,men,49.9, '100% cotton', Black ,https://static.zara.net/photos///2021/I/0/2/p/4087/314/800/22/w/563/4087314800_1_1_1.jpg?ts=1629124839549,Full cut short sleeve sweatshirt with round neck. Front and back print detail with Smiley ® Happy Collection logo. Washed effect. Rib trim.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Zara
PRINTED TEXT T-SHIRT,men,35.9, '100% cotton', Black ,https://static.zara.net/photos///2021/I/0/2/p/4087/354/800/2/w/563/4087354800_1_1_1.jpg?ts=1632134664341,Full cut T-shirt with round neck and short sleeves. Contrasting text print details at front and back.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Zara
SHIRT WITH PATCHES,men,35.9, '100% cotton', Black ,https://static.zara.net/photos///2021/I/0/2/p/5644/343/800/2/w/563/5644343800_1_1_1.jpg?ts=1629283462347,Full cut T-shirt with round neck and short sleeves. Front and back contrast patch appliqué. Asymmetric hem.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Zara
“LOVE” PRINT T-SHIRT © PET SHOP BOYS PARTNERSHIP,men,35.9, '100% cotton', Black ,https://static.zara.net/photos///2021/I/0/2/p/5431/300/800/2/w/563/5431300800_1_1_1.jpg?ts=1626688063612,Full cut T-shirt with round neck and short sleeves. Front and bag logo print “Love” © Pet Shop Boys Partnership.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Zara
TIE-DYE PRINT SHIRT,men,19.9, '100% cotton', Pink White ,https://static.zara.net/photos///2021/I/0/2/p/0722/446/046/2/w/563/0722446046_1_1_1.jpg?ts=1622799313991,Relaxed fit tank top with scoop neckline.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Zara
PRINTED TEXT T-SHIRT,men,35.9, '100% cotton', Mauve ,https://static.zara.net/photos///2021/I/0/2/p/6224/437/612/2/w/563/6224437612_1_1_1.jpg?ts=1622204469676,Full cut T-shirt with round neck and short sleeves. Contrasting printed text at front.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Zara
PLEATED OVERSIZED TOP,men,35.9, '100% polyester', Mink ,https://static.zara.net/photos///2021/I/0/2/p/8288/482/706/2/w/563/8288482706_1_1_1.jpg?ts=1625473348356,Full cut T-shirt with round neck and short sleeves. Chest patch pocket.,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Zara
TEXTURED POCKET T-SHIRT,men,17.9, '100% cotton', Oyster White ,https://static.zara.net/photos///2021/I/0/2/p/1887/412/251/24/w/563/1887412251_1_1_1.jpg?ts=1626274551415,Sleeveless full cut shirt with round neckline. Chest patch pocket. Irregular hems.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Zara
POCKET T-SHIRT,men,19.9, '100% cotton', Faded black ,https://static.zara.net/photos///2021/V/0/2/p/1887/410/833/2/w/563/1887410833_1_1_1.jpg?ts=1616064452022,Full cut T-shirt with round neck and short sleeves. Chest patch pocket.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Zara
THE BEACH BOYS © BRAVADO T-SHIRT,men,35.9, '100% cotton', Blue White ,https://static.zara.net/photos///2021/I/0/2/p/1277/401/044/2/w/563/1277401044_1_1_1.jpg?ts=1620978136491,Round neck short sleeve T-shirt with contrast trim. Front text print and back graphic print of The Beach Boys © Bravado Merchandising.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Zara
