SN,title,description,feature,price,color,gender,imageUrl,brand,composition,rayon,nylon,spandex,acrylic,polyester,cupro,modal,lyocell,cotton
1,T-shirt Visby Trees Navy,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,45,navy,women,https://tshirtstore.centracdn.net/client/dynamic/images/6883_ec50b2262f-dedicated4775-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
2,T-shirt Visby Caffeine Kick,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,white,women,https://tshirtstore.centracdn.net/client/dynamic/images/7062_6cac24ebfb-dedicated2272-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
3,T-shirt Visby Mushrooms Off-White,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,45,off-white,women,https://tshirtstore.centracdn.net/client/dynamic/images/6876_da8adaff01-aw_21_dec32020_ses_218601-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
4,T-shirt Visby Base Orange,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,35,orange,women,https://tshirtstore.centracdn.net/client/dynamic/images/6869_b009c2c924-dedicatedcatalog_aw_217750-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
5,T-shirt Visby Pencil Bike Off-White,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,off-white,women,https://tshirtstore.centracdn.net/client/dynamic/images/6878_44a2aa2e02-ssc-cwobelcom48396-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
6,T-shirt Visby Pencil Bike Charcoal,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,grey,women,https://tshirtstore.centracdn.net/client/dynamic/images/6877_b0317a4ac1-ssc-cwobelcom48489-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
7,T-shirt Visby Color Bird Charcoal,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,39,grey,women,https://tshirtstore.centracdn.net/client/dynamic/images/6873_b7d294ea78-dedicated21082740893-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
8,T-shirt Mysen Earth Off-White,"Classic fitted women's crew neck T-shirt, made sustainably with care for people and planet.",Standard fit; Ribbed neckline,39,off-white,women,https://tshirtstore.centracdn.net/client/dynamic/images/6806_7355ecb813-dedicated21082741452-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
9,T-shirt Visby Tropics,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,45,off-white,women,https://tshirtstore.centracdn.net/client/dynamic/images/6538_58da00eb18-dedicated21082739633-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
10,T-shirt Visby Tropic Leaves,"Women's crew neck T-shirt with short, folded sleeves, made sustainably with care for people and planet.",Short folded sleeves; Slightly boxy fit; Slight boat neck; Slits at side,45,black,women,https://tshirtstore.centracdn.net/client/dynamic/images/6538_58da00eb18-dedicated21082739633-ded-large.jpg,Dedicated,"100% Cotton, Organic and Fairtrade-certified",0,0,0,0,0,0,0,0,1
